#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1871716,60338003,HWB02_gp002,HWB02_gp002,HWB02_000002,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210605,-
1871716,60338004,HWB02_gp003,HWB02_gp003,HWB02_000003,-,-,-,myomegalin-like,protein-coding,-,-,-,myomegalin-like,20201130,-
1871716,60338005,HWB02_gp004,HWB02_gp004,HWB02_000004,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210212,-
1871716,60338006,HWB02_gp005,HWB02_gp005,HWB02_000005,-,-,-,transposase-like protein,protein-coding,-,-,-,transposase-like protein,20201130,-
1871716,60338007,HWB02_gp006,HWB02_gp006,HWB02_000006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338008,HWB02_gp007,HWB02_gp007,HWB02_000007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338009,HWB02_gp008,HWB02_gp008,HWB02_000008,-,-,-,UDP-galactopyranose mutase,protein-coding,-,-,-,UDP-galactopyranose mutase,20201130,-
1871716,60338010,HWB02_gp009,HWB02_gp009,HWB02_000009,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338011,HWB02_gp010,HWB02_gp010,HWB02_000010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338012,HWB02_gp011,HWB02_gp011,HWB02_000011,-,-,-,nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,nicotinamide-nucleotide adenylyltransferase,20210522,-
1871716,60338013,HWB02_gp012,HWB02_gp012,HWB02_000012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338014,HWB02_gp013,HWB02_gp013,HWB02_000013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338015,HWB02_gp014,HWB02_gp014,HWB02_000014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338016,HWB02_gp015,HWB02_gp015,HWB02_000015,-,-,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20210424,-
1871716,60338017,HWB02_gp016,HWB02_gp016,HWB02_000016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338018,HWB02_gp017,HWB02_gp017,HWB02_000017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338019,HWB02_gp018,HWB02_gp018,HWB02_000018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338020,HWB02_gp019,HWB02_gp019,HWB02_000019,-,-,-,nicotinamide mononucleotide transporter,protein-coding,-,-,-,nicotinamide mononucleotide transporter,20210327,-
1871716,60338021,HWB02_gp020,HWB02_gp020,HWB02_000020,-,-,-,aspartate carbamoyltransferase,protein-coding,-,-,-,aspartate carbamoyltransferase,20201130,-
1871716,60338022,HWB02_gp021,HWB02_gp021,HWB02_000021,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210424,-
1871716,60338023,HWB02_gp022,HWB02_gp022,HWB02_000022,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338024,HWB02_gp023,HWB02_gp023,HWB02_000023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1871716,60338025,HWB02_gp024,HWB02_gp024,HWB02_000024,-,-,-,permease protein,protein-coding,-,-,-,permease protein,20201130,-
1871716,60338026,HWB02_gp025,HWB02_gp025,HWB02_000025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338027,HWB02_gp026,HWB02_gp026,HWB02_000026,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338028,HWB02_gp027,HWB02_gp027,HWB02_000027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338029,HWB02_gp028,HWB02_gp028,HWB02_000028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338030,HWB02_gp029,HWB02_gp029,HWB02_000029,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201130,-
1871716,60338031,HWB02_gp030,HWB02_gp030,HWB02_000030,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210605,-
1871716,60338032,HWB02_gp031,HWB02_gp031,HWB02_000031,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338033,HWB02_gp032,HWB02_gp032,HWB02_000032,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338034,HWB02_gp033,HWB02_gp033,HWB02_000033,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338035,HWB02_gp034,HWB02_gp034,HWB02_000034,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20201130,-
1871716,60338036,HWB02_gp035,HWB02_gp035,HWB02_000035,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201130,-
1871716,60338037,HWB02_gp036,HWB02_gp036,HWB02_000036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338038,HWB02_gp037,HWB02_gp037,HWB02_000037,-,-,-,baseplate component,protein-coding,-,-,-,baseplate component,20210605,-
1871716,60338039,HWB02_gp038,HWB02_gp038,HWB02_000038,-,-,-,L-shaped tail fiber,protein-coding,-,-,-,L-shaped tail fiber,20210605,-
1871716,60338041,HWB02_gp040,HWB02_gp040,HWB02_000040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338042,HWB02_gp041,HWB02_gp041,HWB02_000041,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210212,-
1871716,60338043,HWB02_gp042,HWB02_gp042,HWB02_000042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
