#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034150,40090307,2,FDI59_gp002,YOSHI_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1034150,40090308,3,FDI59_gp003,YOSHI_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1034150,40090309,4,FDI59_gp004,YOSHI_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1034150,40090310,5,FDI59_gp005,YOSHI_5,-,-,-,protease,protein-coding,-,-,-,protease,20201220,-
1034150,40090311,6,FDI59_gp006,YOSHI_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1034150,40090312,7,FDI59_gp007,YOSHI_7,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210406,-
1034150,40090313,8,FDI59_gp008,YOSHI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090314,9,FDI59_gp009,YOSHI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090315,10,FDI59_gp010,YOSHI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090316,11,FDI59_gp011,YOSHI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090317,12,FDI59_gp012,YOSHI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090318,13,FDI59_gp013,YOSHI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090319,14,FDI59_gp014,YOSHI_14,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1034150,40090320,16,FDI59_gp015,YOSHI_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034150,40090321,17,FDI59_gp017,YOSHI_17,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201220,-
1034150,40090322,15,FDI59_gp016,YOSHI_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034150,40090323,18,FDI59_gp018,YOSHI_18,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1034150,40090324,19,FDI59_gp019,YOSHI_19,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1034150,40090325,20,FDI59_gp020,YOSHI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090326,21,FDI59_gp021,YOSHI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090327,22,FDI59_gp022,YOSHI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090328,23,FDI59_gp023,YOSHI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090329,24,FDI59_gp024,YOSHI_24,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1034150,40090330,25,FDI59_gp025,YOSHI_25,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1034150,40090331,26,FDI59_gp026,YOSHI_26,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1034150,40090332,27,FDI59_gp027,YOSHI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090333,28,FDI59_gp028,YOSHI_28,-,-,-,AlpA-like transcriptional regulator,protein-coding,-,-,-,AlpA-like transcriptional regulator,20210417,-
1034150,40090334,29,FDI59_gp029,YOSHI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090335,30,FDI59_gp030,YOSHI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090336,31,FDI59_gp031,YOSHI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090337,32,FDI59_gp032,YOSHI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090338,33,FDI59_gp033,YOSHI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090339,34,FDI59_gp034,YOSHI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090340,35,FDI59_gp035,YOSHI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090341,36,FDI59_gp036,YOSHI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090342,37,FDI59_gp037,YOSHI_37,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1034150,40090343,38,FDI59_gp038,YOSHI_38,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1034150,40090344,39,FDI59_gp039,YOSHI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090345,40,FDI59_gp040,YOSHI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090346,41,FDI59_gp041,YOSHI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090347,42,FDI59_gp042,YOSHI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090348,43,FDI59_gp043,YOSHI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090349,44,FDI59_gp044,YOSHI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090350,45,FDI59_gp045,YOSHI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090351,46,FDI59_gp046,YOSHI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090352,47,FDI59_gp047,YOSHI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090353,48,FDI59_gp048,YOSHI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090354,49,FDI59_gp049,YOSHI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090355,50,FDI59_gp050,YOSHI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034150,40090356,51,FDI59_gp051,YOSHI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090357,52,FDI59_gp052,YOSHI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090358,53,FDI59_gp053,YOSHI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090359,54,FDI59_gp054,YOSHI_54,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1034150,40090360,55,FDI59_gp055,YOSHI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090361,56,FDI59_gp056,YOSHI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090362,57,FDI59_gp057,YOSHI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090363,58,FDI59_gp058,YOSHI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090364,59,FDI59_gp059,YOSHI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090365,60,FDI59_gp060,YOSHI_60,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
1034150,40090366,61,FDI59_gp061,YOSHI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1034150,40090367,62,FDI59_gp062,YOSHI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090368,63,FDI59_gp063,YOSHI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090369,64,FDI59_gp064,YOSHI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090370,65,FDI59_gp065,YOSHI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090371,66,FDI59_gp066,YOSHI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090372,67,FDI59_gp067,YOSHI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090373,68,FDI59_gp068,YOSHI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090374,69,FDI59_gp069,YOSHI_69,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
