#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1719140,26522962,KB57_002,KB57_002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1719140,26522963,KB57_003,KB57_003,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210212,-
1719140,26522964,KB57_008,KB57_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522965,KB57_009,KB57_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522966,KB57_010,KB57_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522967,KB57_011,KB57_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522968,KB57_012,KB57_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522969,KB57_013,KB57_013,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200910,-
1719140,26522970,KB57_014,KB57_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522971,KB57_015,KB57_015,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1719140,26522972,KB57_016,KB57_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522973,KB57_017,KB57_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26522974,KB57_018,KB57_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522975,KB57_019,KB57_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522976,KB57_020,KB57_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522977,KB57_021,KB57_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522978,KB57_022,KB57_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522979,KB57_023,KB57_023,-,-,-,-,putative nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,putative nicotinamide-nucleotide adenylyltransferase,20200910,-
1719140,26522980,KB57_024,KB57_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
