#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239385,54970337,HOQ70_gp049,HOQ70_gp049,SA5_0193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970338,HOQ70_gp048,HOQ70_gp048,SA5_0194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970339,HOQ70_gp047,HOQ70_gp047,SA5_0195,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200926,-
1239385,54970340,HOQ70_gp046,HOQ70_gp046,SA5_0197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1239385,54970341,HOQ70_gp045,HOQ70_gp045,SA5_0198,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1239385,54970342,HOQ70_gp044,HOQ70_gp044,SA5_0199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970343,HOQ70_gp043,HOQ70_gp043,SA5_0200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970344,HOQ70_gp042,HOQ70_gp042,SA5_0201,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200926,-
1239385,54970345,HOQ70_gp041,HOQ70_gp041,SA5_0202,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210130,-
1239385,54970346,HOQ70_gp040,HOQ70_gp040,SA5_0203,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210130,-
1239385,54970347,HOQ70_gp039,HOQ70_gp039,SA5_0205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970348,HOQ70_gp038,HOQ70_gp038,SA5_0206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970349,HOQ70_gp037,HOQ70_gp037,SA5_0207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970350,HOQ70_gp036,HOQ70_gp036,SA5_0208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970351,HOQ70_gp035,HOQ70_gp035,SA5_0209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970352,HOQ70_gp034,HOQ70_gp034,SA5_0210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1239385,54970353,HOQ70_gp033,HOQ70_gp033,SA5_0211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970354,HOQ70_gp032,HOQ70_gp032,SA5_0212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970355,HOQ70_gp031,HOQ70_gp031,SA5_0213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970356,HOQ70_gp030,HOQ70_gp030,SA5_01,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210130,-
1239385,54970357,HOQ70_gp029,HOQ70_gp029,SA5_02,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970358,HOQ70_gp028,HOQ70_gp028,SA5_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970359,HOQ70_gp027,HOQ70_gp027,SA5_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970360,HOQ70_gp026,HOQ70_gp026,SA5_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970361,HOQ70_gp025,HOQ70_gp025,SA5_05.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970362,HOQ70_gp024,HOQ70_gp024,SA5_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1239385,54970363,HOQ70_gp023,HOQ70_gp023,SA5_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970364,HOQ70_gp022,HOQ70_gp022,SA5_08,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210130,-
1239385,54970365,HOQ70_gp021,HOQ70_gp021,SA5_09,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20200629,-
1239385,54970366,HOQ70_gp020,HOQ70_gp020,SA5_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970367,HOQ70_gp019,HOQ70_gp019,SA5_011,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
1239385,54970368,HOQ70_gp018,HOQ70_gp018,SA5_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970369,HOQ70_gp017,HOQ70_gp017,SA5_013,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970370,HOQ70_gp016,HOQ70_gp016,SA5_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970371,HOQ70_gp015,HOQ70_gp015,SA5_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970372,HOQ70_gp014,HOQ70_gp014,SA5_016,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970373,HOQ70_gp013,HOQ70_gp013,SA5_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970374,HOQ70_gp012,HOQ70_gp012,SA5_018,-,-,-,putative major tail sheath protein,protein-coding,-,-,-,putative major tail sheath protein,20210130,-
1239385,54970375,HOQ70_gp011,HOQ70_gp011,SA5_019,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
