#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965478,56132587,H1N70_gp02,H1N70_gp02,LW31_002,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965478,56132588,H1N70_gp03,H1N70_gp03,LW31_003,-,-,-,helicase,protein-coding,-,-,-,helicase,20210515,-
1965478,56132589,H1N70_gp04,H1N70_gp04,LW31_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132590,H1N70_gp05,H1N70_gp05,LW31_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132591,H1N70_gp06,H1N70_gp06,LW31_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132592,H1N70_gp07,H1N70_gp07,LW31_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132593,H1N70_gp08,H1N70_gp08,LW31_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132594,H1N70_gp09,H1N70_gp09,LW31_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132595,H1N70_gp10,H1N70_gp10,LW31_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132596,H1N70_gp11,H1N70_gp11,LW31_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132597,H1N70_gp12,H1N70_gp12,LW31_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132598,H1N70_gp13,H1N70_gp13,LW31_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
