#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099336,55607731,HWB56_gp02,HWB56_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2099336,55607732,HWB56_gp03,HWB56_gp03,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20200620,-
2099336,55607733,HWB56_gp04,HWB56_gp04,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2099336,55607734,HWB56_gp05,HWB56_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607735,HWB56_gp06,HWB56_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607736,HWB56_gp07,HWB56_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607737,HWB56_gp08,HWB56_gp08,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210424,-
2099336,55607738,HWB56_gp09,HWB56_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607739,HWB56_gp10,HWB56_gp10,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210424,-
2099336,55607740,HWB56_gp11,HWB56_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607741,HWB56_gp12,HWB56_gp12,-,-,-,-,DNA packaging minor head protein,protein-coding,-,-,-,DNA packaging minor head protein,20210424,-
2099336,55607742,HWB56_gp13,HWB56_gp13,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20200620,-
2099336,55607743,HWB56_gp14,HWB56_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607744,HWB56_gp15,HWB56_gp15,-,-,-,-,putative Cro/Cl-type repressor,protein-coding,-,-,-,putative Cro/Cl-type repressor,20210424,-
2099336,55607745,HWB56_gp16,HWB56_gp16,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2099336,55607746,HWB56_gp17,HWB56_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607747,HWB56_gp18,HWB56_gp18,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210424,-
2099336,55607748,HWB56_gp19,HWB56_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607749,HWB56_gp20,HWB56_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607750,HWB56_gp21,HWB56_gp21,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2099336,55607751,HWB56_gp22,HWB56_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607752,HWB56_gp23,HWB56_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607753,HWB56_gp24,HWB56_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607754,HWB56_gp25,HWB56_gp25,-,-,-,-,DUF3954 domain-containing protein,protein-coding,-,-,-,DUF3954 domain-containing protein,20210424,-
2099336,55607755,HWB56_gp26,HWB56_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607756,HWB56_gp27,HWB56_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607757,HWB56_gp28,HWB56_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607758,HWB56_gp29,HWB56_gp29,-,-,-,-,YopX-like protein,protein-coding,-,-,-,YopX-like protein,20210424,-
2099336,55607759,HWB56_gp30,HWB56_gp30,-,-,-,-,RecA/RadA recombinase,protein-coding,-,-,-,RecA/RadA recombinase,20210424,-
2099336,55607760,HWB56_gp31,HWB56_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607761,HWB56_gp32,HWB56_gp32,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2099336,55607762,HWB56_gp33,HWB56_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607763,HWB56_gp34,HWB56_gp34,-,-,-,-,DUTPase,protein-coding,-,-,-,DUTPase,20210424,-
2099336,55607764,HWB56_gp35,HWB56_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607765,HWB56_gp36,HWB56_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607766,HWB56_gp37,HWB56_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607767,HWB56_gp38,HWB56_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607768,HWB56_gp39,HWB56_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607769,HWB56_gp40,HWB56_gp40,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20210424,-
2099336,55607770,HWB56_gp41,HWB56_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607771,HWB56_gp42,HWB56_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607772,HWB56_gp43,HWB56_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607773,HWB56_gp44,HWB56_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
