#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2736192,56133635,H1N84_gp02,H1N84_gp02,SD1_02,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20210522,-
2736192,56133636,H1N84_gp03,H1N84_gp03,SD1_03,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210522,-
2736192,56133637,H1N84_gp04,H1N84_gp04,SD1_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133638,H1N84_gp05,H1N84_gp05,SD1_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133639,H1N84_gp06,H1N84_gp06,SD1_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2736192,56133640,H1N84_gp07,H1N84_gp07,SD1_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133641,H1N84_gp08,H1N84_gp08,SD1_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2736192,56133642,H1N84_gp09,H1N84_gp09,SD1_09,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200724,-
2736192,56133643,H1N84_gp10,H1N84_gp10,SD1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133644,H1N84_gp11,H1N84_gp11,SD1_11,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200724,-
2736192,56133645,H1N84_gp12,H1N84_gp12,SD1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2736192,56133646,H1N84_gp13,H1N84_gp13,SD1_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210522,-
2736192,56133647,H1N84_gp14,H1N84_gp14,SD1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2736192,56133648,H1N84_gp15,H1N84_gp15,SD1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2736192,56133649,H1N84_gp16,H1N84_gp16,SD1_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200724,-
2736192,56133650,H1N84_gp17,H1N84_gp17,SD1_17,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20200724,-
2736192,56133651,H1N84_gp18,H1N84_gp18,SD1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2736192,56133652,H1N84_gp19,H1N84_gp19,SD1_19,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210522,-
2736192,56133653,H1N84_gp20,H1N84_gp20,SD1_20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210522,-
2736192,56133654,H1N84_gp21,H1N84_gp21,SD1_21,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210522,-
2736192,56133655,H1N84_gp22,H1N84_gp22,SD1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133656,H1N84_gp23,H1N84_gp23,SD1_23,-,-,-,putative exodeoxyribonuclease VIII,protein-coding,-,-,-,putative exodeoxyribonuclease VIII,20210522,-
2736192,56133657,H1N84_gp24,H1N84_gp24,SD1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133658,H1N84_gp25,H1N84_gp25,SD1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133659,H1N84_gp26,H1N84_gp26,SD1_26,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200724,-
2736192,56133660,H1N84_gp27,H1N84_gp27,SD1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133661,H1N84_gp28,H1N84_gp28,SD1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133662,H1N84_gp29,H1N84_gp29,SD1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133663,H1N84_gp30,H1N84_gp30,SD1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2736192,56133664,H1N84_gp31,H1N84_gp31,SD1_31,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
2736192,56133665,H1N84_gp32,H1N84_gp32,SD1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133666,H1N84_gp33,H1N84_gp33,SD1_33,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210522,-
2736192,56133667,H1N84_gp34,H1N84_gp34,SD1_34,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20200724,-
2736192,56133668,H1N84_gp35,H1N84_gp35,SD1_35,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210522,-
2736192,56133669,H1N84_gp36,H1N84_gp36,SD1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133670,H1N84_gp37,H1N84_gp37,SD1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133671,H1N84_gp38,H1N84_gp38,SD1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133672,H1N84_gp39,H1N84_gp39,SD1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2736192,56133673,H1N84_gp40,H1N84_gp40,SD1_40,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200724,-
2736192,56133674,H1N84_gp41,H1N84_gp41,SD1_41,-,-,-,holin,protein-coding,-,-,-,holin,20200724,-
2736192,56133675,H1N84_gp42,H1N84_gp42,SD1_42,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210522,-
