#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
546807,6921190,232,SCOTTMCG_232,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
546807,6921191,233,SCOTTMCG_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921192,234,SCOTTMCG_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921193,235,SCOTTMCG_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
546807,6921194,236,SCOTTMCG_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921195,237,SCOTTMCG_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921196,238,SCOTTMCG_238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921197,239,SCOTTMCG_239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921198,240,SCOTTMCG_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921199,241,SCOTTMCG_241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921200,242,SCOTTMCG_242,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
546807,6921201,243,SCOTTMCG_243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921202,244,SCOTTMCG_244,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200909,-
546807,6921203,245,SCOTTMCG_245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921204,246,SCOTTMCG_246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921205,247,SCOTTMCG_247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921206,248,SCOTTMCG_248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921207,249,SCOTTMCG_249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921208,250,SCOTTMCG_250,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210424,-
546807,6921209,251,SCOTTMCG_251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921210,252,SCOTTMCG_252,-,-,-,-,kinase,protein-coding,-,-,-,kinase,20200909,-
546807,6921211,253,SCOTTMCG_253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921212,254,SCOTTMCG_254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921213,255,SCOTTMCG_255,-,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210424,-
546807,6921214,256,SCOTTMCG_256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921215,257,SCOTTMCG_257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921216,2,SCOTTMCG_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921217,3,SCOTTMCG_3,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200909,-
546807,6921218,4,SCOTTMCG_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921219,5,SCOTTMCG_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921220,6,SCOTTMCG_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921221,7,SCOTTMCG_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921222,8,SCOTTMCG_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921223,9,SCOTTMCG_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921224,10,SCOTTMCG_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921225,11,SCOTTMCG_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921226,12,SCOTTMCG_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921227,13,SCOTTMCG_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921228,14,SCOTTMCG_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921229,15,SCOTTMCG_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921230,16,SCOTTMCG_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921231,17,SCOTTMCG_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921232,18,SCOTTMCG_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921233,19,SCOTTMCG_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921234,20,SCOTTMCG_20,-,-,-,-,HIT protein,protein-coding,-,-,-,HIT protein,20210417,-
546807,6921235,21,SCOTTMCG_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921236,22,SCOTTMCG_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921237,23,SCOTTMCG_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921238,24,SCOTTMCG_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921239,25,SCOTTMCG_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921240,26,SCOTTMCG_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921241,27,SCOTTMCG_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921242,28,SCOTTMCG_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
546807,6921243,29,SCOTTMCG_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921244,30,SCOTTMCG_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921245,31,SCOTTMCG_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921246,32,SCOTTMCG_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921247,33,SCOTTMCG_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921248,34,SCOTTMCG_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921249,35,SCOTTMCG_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921250,36,SCOTTMCG_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921251,37,SCOTTMCG_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921252,38,SCOTTMCG_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
546807,6921253,39,SCOTTMCG_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921254,40,SCOTTMCG_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
546807,6921255,41,SCOTTMCG_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921256,42,SCOTTMCG_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921257,43,SCOTTMCG_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921258,44,SCOTTMCG_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921259,45,SCOTTMCG_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921260,46,SCOTTMCG_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921261,47,SCOTTMCG_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921262,48,SCOTTMCG_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921263,49,SCOTTMCG_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921264,50,SCOTTMCG_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921265,51,SCOTTMCG_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921266,52,SCOTTMCG_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921267,53,SCOTTMCG_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921268,54,SCOTTMCG_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921269,55,SCOTTMCG_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921270,56,SCOTTMCG_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921271,57,SCOTTMCG_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921272,58,SCOTTMCG_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921273,59,SCOTTMCG_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921274,60,SCOTTMCG_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921275,61,SCOTTMCG_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
