#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4909,32084900,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene ('Candida glycerinogenes'; Candida acidothermophilum; Candida krusei; Issatchenkia orientalis; Saccharomyces krusei).,other,-,-,-,-,20210109,-
4909,40381107,C5L36_0A00110,C5L36_0A00110,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381108,C5L36_0A00120,C5L36_0A00120,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381109,C5L36_0A00130,C5L36_0A00130,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381110,C5L36_0A00140,C5L36_0A00140,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381111,C5L36_0A00150,C5L36_0A00150,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381112,C5L36_0A00160,C5L36_0A00160,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381113,C5L36_0A00170,C5L36_0A00170,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381114,C5L36_0A00180,C5L36_0A00180,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381115,C5L36_0A00190,C5L36_0A00190,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381116,C5L36_0A00200,C5L36_0A00200,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381117,C5L36_0A00210,C5L36_0A00210,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381118,C5L36_0A00220,C5L36_0A00220,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381119,C5L36_0A00230,C5L36_0A00230,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381120,C5L36_0A00240,C5L36_0A00240,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
