#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
48254,25015656,atp6,ADP02_gp02,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20201029,-
48254,25015657,atp9,ADP02_gp03,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20201029,-
48254,25015658,orf407,ADP02_gp04,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201029,-
48254,25015659,orf419,ADP02_gp05,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201029,-
48254,25015660,cox2,ADP02_gp06,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20201029,-
48254,25015661,trnF(gaa),ADP02_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015662,trnT(ttag),ADP02_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015663,trnC(gca),ADP02_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015664,trnV(tac),ADP02_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015665,cox3,ADP02_gp11,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20201029,-
48254,25015666,orf106,ADP02_gp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201029,-
48254,25015667,trnL(taa),ADP02_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015668,trnQ(ttg),ADP02_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015669,trnK(ttt),ADP02_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015670,trnR(tct),ADP02_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015671,trnG(tcc),ADP02_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015672,trnD(gtc),ADP02_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015673,trnS(gct),ADP02_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015674,trnR(acg),ADP02_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015675,trnH(gtg),ADP02_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015676,trnM(cat),ADP02_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015677,rps3,ADP02_gp09,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20201029,-
48254,25015678,trnY(gta),ADP02_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015679,trnN(gtt),ADP02_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015680,trnA(tgc),ADP02_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015681,trnI(gat),ADP02_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015682,trnS(tga),ADP02_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015683,rns,ADP02_gr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20150716,-
48254,25015684,trnW(tca),ADP02_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015685,rnl,ADP02_gr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20150716,-
48254,25015686,trnT(tgt),ADP02_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015687,trnE(ttc),ADP02_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015688,CYTB,ADP02_gp08,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20201029,-
48254,25015689,trnM(cat),ADP02_gt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015690,rnpB,ADP02_gs01,-,-,MT,-,ncRNA,ncRNA,-,-,-,-,20150716,-
48254,25015691,trnP(tgg),ADP02_gt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150716,-
48254,25015692,cox1,ADP02_gp07,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20201029,-
48254,25015693,atp8,ADP02_gp01,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20201029,-
48254,59323290,HG536_0A00100,HG536_0A00100,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323291,HG536_0A00110,HG536_0A00110,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201110,-
48254,59323292,HG536_0A00120,HG536_0A00120,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323293,HG536_0A00130,HG536_0A00130,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323294,HG536_0A00140,HG536_0A00140,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323295,HG536_0A00150,HG536_0A00150,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323296,HG536_0A00160,HG536_0A00160,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323297,HG536_0A00170,HG536_0A00170,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323298,HG536_0A00180,HG536_0A00180,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201110,-
48254,59323299,HG536_0A00190,HG536_0A00190,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323300,HG536_0A00200,HG536_0A00200,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323301,HG536_0A00210,HG536_0A00210,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323302,HG536_0A00220,HG536_0A00220,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323303,HG536_0A00230,HG536_0A00230,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323304,HG536_0A00240,HG536_0A00240,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323305,HG536_0A00250,HG536_0A00250,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323306,HG536_0A00260,HG536_0A00260,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323307,HG536_0A00270,HG536_0A00270,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323308,HG536_0A00280,HG536_0A00280,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323309,HG536_0A00290,HG536_0A00290,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323310,HG536_0A00300,HG536_0A00300,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323311,HG536_0A00310,HG536_0A00310,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323312,HG536_0A00320,HG536_0A00320,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323313,HG536_0A00330,HG536_0A00330,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323314,HG536_0A00340,HG536_0A00340,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323315,HG536_0A00350,HG536_0A00350,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
48254,59323316,HG536_0A00360,HG536_0A00360,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210522,-
