#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965482,56137519,H1Z34_gp002,H1Z34_gp002,LW81_002,-,-,-,RecD/TraA family helicase,protein-coding,-,-,-,RecD/TraA family helicase,20210515,-
1965482,56137520,H1Z34_gp003,H1Z34_gp003,LW81_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137521,H1Z34_gp004,H1Z34_gp004,LW81_004,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20210515,-
1965482,56137522,H1Z34_gp005,H1Z34_gp005,LW81_005,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965482,56137523,H1Z34_gp006,H1Z34_gp006,LW81_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137524,H1Z34_gp007,H1Z34_gp007,LW81_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137525,H1Z34_gp008,H1Z34_gp008,LW81_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137526,H1Z34_gp009,H1Z34_gp009,LW81_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137527,H1Z34_gp010,H1Z34_gp010,LW81_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137528,H1Z34_gp011,H1Z34_gp011,LW81_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137529,H1Z34_gp012,H1Z34_gp012,LW81_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137530,H1Z34_gp013,H1Z34_gp013,LW81_013,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210515,-
1965482,56137531,H1Z34_gp014,H1Z34_gp014,LW81_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137532,H1Z34_gp015,H1Z34_gp015,LW81_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137533,H1Z34_gp016,H1Z34_gp016,LW81_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137534,H1Z34_gp017,H1Z34_gp017,LW81_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137535,H1Z34_gp018,H1Z34_gp018,LW81_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137536,H1Z34_gp019,H1Z34_gp019,LW81_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137537,H1Z34_gp020,H1Z34_gp020,LW81_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137538,H1Z34_gp021,H1Z34_gp021,LW81_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137539,H1Z34_gp022,H1Z34_gp022,LW81_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137540,H1Z34_gp023,H1Z34_gp023,LW81_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137541,H1Z34_gp024,H1Z34_gp024,LW81_024,-,-,-,chromosome segregation protein,protein-coding,-,-,-,chromosome segregation protein,20210515,-
1965482,56137542,H1Z34_gp025,H1Z34_gp025,LW81_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137543,H1Z34_gp026,H1Z34_gp026,LW81_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137544,H1Z34_gp027,H1Z34_gp027,LW81_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137545,H1Z34_gp028,H1Z34_gp028,LW81_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137546,H1Z34_gp029,H1Z34_gp029,LW81_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137547,H1Z34_gp030,H1Z34_gp030,LW81_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137548,H1Z34_gp031,H1Z34_gp031,LW81_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137549,H1Z34_gp032,H1Z34_gp032,LW81_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137550,H1Z34_gp033,H1Z34_gp033,LW81_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137551,H1Z34_gp034,H1Z34_gp034,LW81_034,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20210515,-
1965482,56137552,H1Z34_gp035,H1Z34_gp035,LW81_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137553,H1Z34_gp036,H1Z34_gp036,LW81_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137554,H1Z34_gp037,H1Z34_gp037,LW81_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137555,H1Z34_gp038,H1Z34_gp038,LW81_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137556,H1Z34_gp039,H1Z34_gp039,LW81_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137557,H1Z34_gp040,H1Z34_gp040,LW81_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137558,H1Z34_gp041,H1Z34_gp041,LW81_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137559,H1Z34_gp042,H1Z34_gp042,LW81_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137560,H1Z34_gp043,H1Z34_gp043,LW81_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137561,H1Z34_gp044,H1Z34_gp044,LW81_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137562,H1Z34_gp045,H1Z34_gp045,LW81_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137563,H1Z34_gp046,H1Z34_gp046,LW81_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137564,H1Z34_gp047,H1Z34_gp047,LW81_047,-,-,-,LamB/ Ycsf family protein,protein-coding,-,-,-,LamB/ Ycsf family protein,20200724,-
1965482,56137565,H1Z34_gp048,H1Z34_gp048,LW81_048,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965482,56137566,H1Z34_gp049,H1Z34_gp049,LW81_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137567,H1Z34_gp050,H1Z34_gp050,LW81_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137568,H1Z34_gp051,H1Z34_gp051,LW81_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137569,H1Z34_gp052,H1Z34_gp052,LW81_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137570,H1Z34_gp053,H1Z34_gp053,LW81_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137571,H1Z34_gp054,H1Z34_gp054,LW81_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137572,H1Z34_gp055,H1Z34_gp055,LW81_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137573,H1Z34_gp056,H1Z34_gp056,LW81_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137574,H1Z34_gp057,H1Z34_gp057,LW81_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137575,H1Z34_gp058,H1Z34_gp058,LW81_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137576,H1Z34_gp059,H1Z34_gp059,LW81_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137577,H1Z34_gp060,H1Z34_gp060,LW81_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137578,H1Z34_gp061,H1Z34_gp061,LW81_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137579,H1Z34_gp062,H1Z34_gp062,LW81_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137580,H1Z34_gp063,H1Z34_gp063,LW81_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137581,H1Z34_gp064,H1Z34_gp064,LW81_064,-,-,-,lysin,protein-coding,-,-,-,lysin,20210515,-
1965482,56137582,H1Z34_gp065,H1Z34_gp065,LW81_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137583,H1Z34_gp066,H1Z34_gp066,LW81_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137584,H1Z34_gp067,H1Z34_gp067,LW81_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137585,H1Z34_gp068,H1Z34_gp068,LW81_068,-,-,-,PhoH,protein-coding,-,-,-,PhoH,20210515,-
1965482,56137586,H1Z34_gp069,H1Z34_gp069,LW81_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137587,H1Z34_gp070,H1Z34_gp070,LW81_070,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
1965482,56137588,H1Z34_gp071,H1Z34_gp071,LW81_071,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
1965482,56137589,H1Z34_gp072,H1Z34_gp072,LW81_072,-,-,-,single stranded DNA specific exonuclease,protein-coding,-,-,-,single stranded DNA specific exonuclease,20210515,-
1965482,56137590,H1Z34_gp073,H1Z34_gp073,LW81_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
