#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582150,26646921,PHICD111_20002,PHICD111_20002,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1582150,26646922,PHICD111_20003,PHICD111_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1582150,26646923,PHICD111_20004,PHICD111_20004,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1582150,26646924,PHICD111_20005,PHICD111_20005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646925,PHICD111_20006,PHICD111_20006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646926,PHICD111_20007,PHICD111_20007,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1582150,26646927,PHICD111_20008,PHICD111_20008,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20201221,-
1582150,26646928,PHICD111_20009,PHICD111_20009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646929,PHICD111_20010,PHICD111_20010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646930,PHICD111_20011,PHICD111_20011,-,-,-,-,capsid family protein,protein-coding,-,-,-,capsid family protein,20201221,-
1582150,26646931,PHICD111_20012,PHICD111_20012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646932,PHICD111_20013,PHICD111_20013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646933,PHICD111_20014,PHICD111_20014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646934,PHICD111_20015,PHICD111_20015,-,-,-,-,bacterioGp15 family protein,protein-coding,-,-,-,bacterioGp15 family protein,20201221,-
1582150,26646935,PHICD111_20016,PHICD111_20016,-,-,-,-,DUF4236 domain-containing protein,protein-coding,-,-,-,DUF4236 domain-containing protein,20201221,-
1582150,26646936,PHICD111_20017,PHICD111_20017,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1582150,26646937,PHICD111_20018,PHICD111_20018,-,-,-,-,Tail component protein,protein-coding,-,-,-,Tail component protein,20200905,-
1582150,26646938,PHICD111_20019,PHICD111_20019,-,-,-,-,Tail protein/endopeptidase,protein-coding,-,-,-,Tail protein/endopeptidase,20201026,-
1582150,26646939,PHICD111_20020,PHICD111_20020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646940,PHICD111_20021,PHICD111_20021,-,-,-,-,Tail fiber protein,protein-coding,-,-,-,Tail fiber protein,20201026,-
1582150,26646941,PHICD111_20022,PHICD111_20022,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1582150,26646942,PHICD111_20023,PHICD111_20023,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1582150,26646943,PHICD111_20024,PHICD111_20024,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1582150,26646944,PHICD111_20025,PHICD111_20025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646945,PHICD111_20026,PHICD111_20026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646946,PHICD111_20027,PHICD111_20027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646947,PHICD111_20028,PHICD111_20028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646948,PHICD111_20029,PHICD111_20029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646949,PHICD111_20030,PHICD111_20030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646950,PHICD111_20031,PHICD111_20031,-,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20201221,-
1582150,26646951,PHICD111_20032,PHICD111_20032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646952,PHICD111_29032,PHICD111_29032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646953,PHICD111_20034,PHICD111_20034,-,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1582150,26646954,PHICD111_20035,PHICD111_20035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646955,PHICD111_20036,PHICD111_20036,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1582150,26646956,PHICD111_20037,PHICD111_20037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646957,PHICD111_20038,PHICD111_20038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646958,PHICD111_20039,PHICD111_20039,-,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201221,-
1582150,26646959,PHICD111_20040,PHICD111_20040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646960,PHICD111_20041,PHICD111_20041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646961,PHICD111_20042,PHICD111_20042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646962,PHICD111_20043,PHICD111_20043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646963,PHICD111_20044,PHICD111_20044,-,-,-,-,DUF3797 domain-containing protein,protein-coding,-,-,-,DUF3797 domain-containing protein,20201221,-
1582150,26646964,PHICD111_20045,PHICD111_20045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646965,ssb,PHICD111_20046,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
