#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
399742,5130247,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20170504,-
399742,32440843,ENT638_RS21865,ENT638_RS21865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440848,ENT638_RS21740,ENT638_RS21740,Ent638_4246,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440851,ENT638_RS21570,ENT638_RS21570,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440852,ENT638_RS21480,ENT638_RS21480,Ent638_4205,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440858,ENT638_RS21465,ENT638_RS21465,Ent638_4202,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440860,ENT638_RS21555,ENT638_RS21555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440862,ENT638_RS21560,ENT638_RS21560,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440865,ENT638_RS21490,ENT638_RS21490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440866,ENT638_RS21905,ENT638_RS21905,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440867,ENT638_RS21720,ENT638_RS21720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440871,ENT638_RS23300,ENT638_RS23300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440875,ENT638_RS23290,ENT638_RS23290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440876,ENT638_RS21640,ENT638_RS21640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440878,ENT638_RS21995,ENT638_RS21995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440883,ENT638_RS21635,ENT638_RS21635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440889,ENT638_RS21510,ENT638_RS21510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32440904,ENT638_RS21520,ENT638_RS21520,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440905,ENT638_RS21580,ENT638_RS21580,Ent638_4218,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440909,ENT638_RS21575,ENT638_RS21575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440910,ENT638_RS21645,ENT638_RS21645,Ent638_4230,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440913,ENT638_RS21500,ENT638_RS21500,Ent638_4208,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440919,ENT638_RS21860,ENT638_RS21860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440924,ENT638_RS23575,ENT638_RS23575,Ent638_4259,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440926,ENT638_RS21850,ENT638_RS21850,Ent638_4270,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440933,ENT638_RS21830,ENT638_RS21830,Ent638_4265,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32440936,ENT638_RS21985,ENT638_RS21985,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440937,ENT638_RS21990,ENT638_RS21990,Ent638_4294,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440938,ENT638_RS23580,ENT638_RS23580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440940,ENT638_RS21745,ENT638_RS21745,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440942,ENT638_RS23550,ENT638_RS23550,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440944,ENT638_RS23585,ENT638_RS23585,Ent638_4300,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440948,ENT638_RS22170,ENT638_RS22170,Ent638_4325,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440950,ENT638_RS21955,ENT638_RS21955,Ent638_4288,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440963,ENT638_RS22165,ENT638_RS22165,Ent638_4324,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440965,ENT638_RS22155,ENT638_RS22155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440971,ENT638_RS23555,ENT638_RS23555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440976,ENT638_RS22120,ENT638_RS22120,Ent638_4316,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440977,ENT638_RS23570,ENT638_RS23570,Ent638_4252,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440982,ENT638_RS21900,ENT638_RS21900,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440984,ENT638_RS22145,ENT638_RS22145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32440988,ENT638_RS22105,ENT638_RS22105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32440991,ENT638_RS22100,ENT638_RS22100,Ent638_4313,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32440993,ENT638_RS22060,ENT638_RS22060,Ent638_4305,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
