#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2654972,65123081,KNU82_gp003,KNU82_gp003,VOWphi5012_003,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2654972,65123082,KNU82_gp002,KNU82_gp002,VOWphi5012_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123083,KNU82_gp004,KNU82_gp004,VOWphi5012_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123084,KNU82_gp005,KNU82_gp005,VOWphi5012_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123085,KNU82_gp006,KNU82_gp006,VOWphi5012_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123086,KNU82_gp007,KNU82_gp007,VOWphi5012_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123087,KNU82_gp008,KNU82_gp008,VOWphi5012_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123088,KNU82_gp009,KNU82_gp009,VOWphi5012_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123089,KNU82_gp010,KNU82_gp010,VOWphi5012_010,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2654972,65123090,KNU82_gp011,KNU82_gp011,VOWphi5012_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123091,KNU82_gp012,KNU82_gp012,VOWphi5012_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123092,KNU82_gp013,KNU82_gp013,VOWphi5012_013,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2654972,65123093,KNU82_gp015,KNU82_gp015,VOWphi5012_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123094,KNU82_gp014,KNU82_gp014,VOWphi5012_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123095,KNU82_gp016,KNU82_gp016,VOWphi5012_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
