#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
47634,13229739,trnK-UUU,GocaCt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229740,rps16,GocaCp003,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,-,20150626,-
47634,13229741,psbI,GocaCp005,-,-,-,-,photosystem II protein I,protein-coding,-,-,-,-,20150626,-
47634,13229742,trnQ-UUG,GocaCt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229743,trnS-GCU,GocaCt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229744,atpH,GocaCp008,-,-,-,-,ATPase III subunit; ATP synthase CF0 C chain,protein-coding,-,-,-,ATPase III subunit|ATP synthase CF0 C chain|ATP synthase CF0 C subunit,20150626,-
47634,13229745,atpI,GocaCp009,-,-,-,-,ATPase IV subunit; ATP synthase CF0 A chain,protein-coding,-,-,-,ATPase IV subunit|ATP synthase CF0 A chain|ATP synthase CF0 A subunit,20160325,-
47634,13229746,rps2,GocaCp010,-,-,-,-,30S ribosomal protein S2,protein-coding,-,-,-,30S ribosomal protein S2|ribosomal protein S2,20160910,-
47634,13229747,rpoC1,GocaCp012,-,-,-,-,RNA polymerase beta' subunit,protein-coding,-,-,-,-,20170906,-
47634,13229748,rpoB,GocaCp013,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,-,20160813,-
47634,13229749,trnC-GCA,GocaCt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229750,psbM,GocaCp015,-,-,-,-,photosystem II protein M,protein-coding,-,-,-,-,20190608,-
47634,13229751,trnD-GUC,GocaCt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229752,psbC,GocaCp017,-,-,-,-,PSII 43 kDa protein; CP43,protein-coding,-,-,-,PSII 43 kDa protein|CP43|photosystem II 44 kDa protein,20150626,-
47634,13229753,trnS-UGA,GocaCt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229754,trnG-GCC,GocaCt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229755,psaB,GocaCp020,-,-,-,-,photosystem I P700 apoprotein A2,protein-coding,-,-,-,-,20150626,-
47634,13229756,psaA,GocaCp021,-,-,-,-,photosystem I P700 apoprotein A1,protein-coding,-,-,-,-,20150626,-
47634,13229757,ycf3,GocaCp022,-,-,-,-,photosystem I assembly protein Ycf3,protein-coding,-,-,-,-,20160813,-
47634,13229758,trnT-UGU,GocaCt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229759,trnS-GGA,GocaCt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20120710,-
47634,13229760,ndhK,GocaCp025,-,-,-,-,NADH dehydrogenase subunit K,protein-coding,-,-,-,-,20160910,-
47634,13229761,ndhC,GocaCp026,ndh3,-,-,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20150626,-
