#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
764924,39413345,rps12,E2995_pgp063,-,-,-,-,ribosomal protein S12,protein-coding,-,-,-,ribosomal protein S12,20200911,-
764924,39413346,trnV-GAC,E2995_pgt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
764924,39413347,trnH-GUG,E2995_pgt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
764924,39413348,atpI,E2995_pgp014,-,-,-,-,ATP synthase CF0 subunit IV,protein-coding,-,-,-,ATP synthase CF0 subunit IV,20200911,-
764924,39413349,rpoC1,E2995_pgp016,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,RNA polymerase beta subunit,20200911,-
764924,39413350,rrn4.5,E2995_pgr006,-,-,-,-,4.5S ribosomal RNA,rRNA,-,-,-,-,20200911,-
764924,39413351,trnA-UGC,E2995_pgt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
764924,39413352,rpoC2,E2995_pgp015,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,RNA polymerase beta subunit,20200911,-
764924,39413353,matK,E2995_pgp061,-,-,-,-,maturase K,protein-coding,-,-,-,maturase K,20200911,-
764924,39413354,trnR-ACG,E2995_pgt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
764924,39413355,rps15,E2995_pgp074,-,-,-,-,ribosomal protein S15,protein-coding,-,-,-,ribosomal protein S15,20200911,-
764924,39413356,psaB,E2995_pgp051,-,-,-,-,photosystem I P700 apoprotein A2,protein-coding,-,-,-,photosystem I P700 apoprotein A2,20200911,-
764924,39413357,rps14,E2995_pgp050,-,-,-,-,ribosomal protein S14,protein-coding,-,-,-,ribosomal protein S14,20200911,-
764924,39413358,ndhI,E2995_pgp071,-,-,-,-,NADH-plastoquinone oxidoreductase subunit I,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit I,20200911,-
764924,39413359,rpl20,E2995_pgp018,-,-,-,-,ribosomal protein L20,protein-coding,-,-,-,ribosomal protein L20,20200911,-
764924,39413360,psaA,E2995_pgp052,-,-,-,-,photosystem I P700 apoprotein A1,protein-coding,-,-,-,photosystem I P700 apoprotein A1,20200911,-
764924,39413361,psaI,E2995_pgp045,-,-,-,-,photosystem I subunit VIII,protein-coding,-,-,-,photosystem I subunit VIII,20200911,-
764924,39413362,trnL-CAA,E2995_pgt036,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
764924,39413363,trnR-UCU,E2995_pgt025,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
764924,39413364,clpP,E2995_pgp019,-,-,-,-,clp protease proteolytic subunit,protein-coding,-,-,-,clp protease proteolytic subunit,20200911,-
764924,39413365,trnI-GAU,E2995_pgt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
