#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163887,65111753,KNT84_gp002,KNT84_gp002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2163887,65111754,KNT84_gp003,KNT84_gp003,-,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210607,-
2163887,65111755,KNT84_gp004,KNT84_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111756,KNT84_gp005,KNT84_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111757,KNT84_gp006,KNT84_gp006,-,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20210607,-
2163887,65111758,KNT84_gp007,KNT84_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111759,KNT84_gp008,KNT84_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111760,KNT84_gp009,KNT84_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111761,KNT84_gp010,KNT84_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111762,KNT84_gp011,KNT84_gp011,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2163887,65111763,KNT84_gp012,KNT84_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111764,KNT84_gp013,KNT84_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111765,KNT84_gp014,KNT84_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111766,KNT84_gp015,KNT84_gp015,-,-,-,-,topoisomerase II medium subunit,protein-coding,-,-,-,topoisomerase II medium subunit,20210607,-
2163887,65111767,KNT84_gp016,KNT84_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111768,KNT84_gp017,KNT84_gp017,-,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20210607,-
2163887,65111769,KNT84_gp018,KNT84_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111770,KNT84_gp019,KNT84_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111771,KNT84_gp020,KNT84_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111772,KNT84_gp021,KNT84_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111773,KNT84_gp022,KNT84_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111774,KNT84_gp023,KNT84_gp023,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210607,-
2163887,65111775,KNT84_gp024,KNT84_gp024,-,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210607,-
2163887,65111776,KNT84_gp025,KNT84_gp025,-,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20210607,-
2163887,65111777,KNT84_gp026,KNT84_gp026,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
2163887,65111778,KNT84_gp027,KNT84_gp027,-,-,-,-,"hinge connector of long tail fiber, distal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, distal connector",20210607,-
2163887,65111779,KNT84_gp028,KNT84_gp028,-,-,-,-,"hinge connector of long tail fiber, proximal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, proximal connector",20210607,-
2163887,65111780,KNT84_gp029,KNT84_gp029,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2163887,65111781,KNT84_gp030,KNT84_gp030,-,-,-,-,RNaseH ribonuclease,protein-coding,-,-,-,RNaseH ribonuclease,20210607,-
2163887,65111782,KNT84_gp031,KNT84_gp031,-,-,-,-,"dsDNA binding protein, late transcription",protein-coding,-,-,-,"dsDNA binding protein, late transcription",20210607,-
2163887,65111783,KNT84_gp032,KNT84_gp032,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2163887,65111784,KNT84_gp033,KNT84_gp033,-,-,-,-,loader of FNA helicase,protein-coding,-,-,-,loader of FNA helicase,20210607,-
2163887,65111785,KNT84_gp034,KNT84_gp034,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210607,-
2163887,65111786,KNT84_gp035,KNT84_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111787,KNT84_gp036,KNT84_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111788,KNT84_gp037,KNT84_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111789,KNT84_gp038,KNT84_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111790,KNT84_gp039,KNT84_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111791,KNT84_gp040,KNT84_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111792,KNT84_gp041,KNT84_gp041,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2163887,65111793,KNT84_gp042,KNT84_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111794,KNT84_gp043,KNT84_gp043,-,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20210607,-
2163887,65111795,KNT84_gp044,KNT84_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111796,KNT84_gp045,KNT84_gp045,-,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210607,-
2163887,65111797,KNT84_gp046,KNT84_gp046,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210607,-
2163887,65111798,KNT84_gp047,KNT84_gp047,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2163887,65111799,KNT84_gp048,KNT84_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111800,KNT84_gp049,KNT84_gp049,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
2163887,65111801,KNT84_gp050,KNT84_gp050,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2163887,65111802,KNT84_gp051,KNT84_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111803,KNT84_gp052,KNT84_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111804,KNT84_gp053,KNT84_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111805,KNT84_gp054,KNT84_gp054,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20210607,-
2163887,65111806,KNT84_gp055,KNT84_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111807,KNT84_gp056,KNT84_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111808,KNT84_gp057,KNT84_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111809,KNT84_gp058,KNT84_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111810,KNT84_gp059,KNT84_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111811,KNT84_gp060,KNT84_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111812,KNT84_gp061,KNT84_gp061,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210609,-
2163887,65111813,KNT84_gp062,KNT84_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111814,KNT84_gp063,KNT84_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111815,KNT84_gp064,KNT84_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111816,KNT84_gp065,KNT84_gp065,-,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210607,-
2163887,65111817,KNT84_gp066,KNT84_gp066,-,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,protein-coding,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,20210607,-
2163887,65111818,KNT84_gp067,KNT84_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111819,KNT84_gp068,KNT84_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111820,KNT84_gp069,KNT84_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111821,KNT84_gp070,KNT84_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111822,KNT84_gp071,KNT84_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111823,KNT84_gp072,KNT84_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111824,KNT84_gp073,KNT84_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111825,KNT84_gp074,KNT84_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111826,KNT84_gp075,KNT84_gp075,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2163887,65111827,KNT84_gp076,KNT84_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111828,KNT84_gp077,KNT84_gp077,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2163887,65111829,KNT84_gp078,KNT84_gp078,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2163887,65111830,KNT84_gp079,KNT84_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111831,KNT84_gp080,KNT84_gp080,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2163887,65111832,KNT84_gp081,KNT84_gp081,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210609,-
2163887,65111833,KNT84_gp082,KNT84_gp082,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20210607,-
2163887,65111834,KNT84_gp083,KNT84_gp083,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2163887,65111835,KNT84_gp084,KNT84_gp084,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163887,65111836,KNT84_gp085,KNT84_gp085,-,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2163887,65111837,KNT84_gp086,KNT84_gp086,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163887,65111838,KNT84_gp087,KNT84_gp087,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163887,65111839,KNT84_gp088,KNT84_gp088,-,-,-,-,recombination repair and ssDNA binding protein,protein-coding,-,-,-,recombination repair and ssDNA binding protein,20210607,-
2163887,65111840,KNT84_gp089,KNT84_gp089,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210607,-
2163887,65111841,KNT84_gp090,KNT84_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111842,KNT84_gp091,KNT84_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111843,KNT84_gp092,KNT84_gp092,-,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210607,-
