#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315813,41702718,EXK80_gp3,EXK80_gp3,-,-,-,-,hypothetical protein 3,protein-coding,-,-,-,hypothetical protein 3,20190913,-
2315813,41702719,EXK80_gp1,EXK80_gp1,-,-,-,-,hypothetical protein 1,protein-coding,-,-,-,hypothetical protein 1,20190913,-
2315813,41702720,EXK80_gp2,EXK80_gp2,-,-,-,-,hypothetical protein 2,protein-coding,-,-,-,hypothetical protein 2,20190913,-
2315813,41719850,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200516,-
