#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2077135,65105617,KNT11_gp02,KNT11_gp02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20210607,-
2077135,65105618,KNT11_gp03,KNT11_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105619,KNT11_gp04,KNT11_gp04,-,-,-,-,putative phage portal protein,protein-coding,-,-,-,putative phage portal protein,20210607,-
2077135,65105620,KNT11_gp05,KNT11_gp05,-,-,-,-,putative hyaluronan lyase,protein-coding,-,-,-,putative hyaluronan lyase,20210607,-
2077135,65105621,KNT11_gp06,KNT11_gp06,-,-,-,-,putative capsid maturation protease,protein-coding,-,-,-,putative capsid maturation protease,20210607,-
2077135,65105622,KNT11_gp07,KNT11_gp07,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210607,-
2077135,65105623,KNT11_gp08,KNT11_gp08,-,-,-,-,putative head-to-tail connector protein,protein-coding,-,-,-,putative head-to-tail connector protein,20210607,-
2077135,65105624,KNT11_gp09,KNT11_gp09,-,-,-,-,putative head-to-tail connector protein,protein-coding,-,-,-,putative head-to-tail connector protein,20210607,-
2077135,65105625,KNT11_gp10,KNT11_gp10,-,-,-,-,putative head-to-tail connector protein,protein-coding,-,-,-,putative head-to-tail connector protein,20210607,-
2077135,65105626,KNT11_gp11,KNT11_gp11,-,-,-,-,putative head-to-tail connector protein,protein-coding,-,-,-,putative head-to-tail connector protein,20210607,-
2077135,65105627,KNT11_gp12,KNT11_gp12,-,-,-,-,putative head-to-tail connector protein,protein-coding,-,-,-,putative head-to-tail connector protein,20210607,-
2077135,65105628,KNT11_gp13,KNT11_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105629,KNT11_gp14,KNT11_gp14,-,-,-,-,putative tail assembly chaperone,protein-coding,-,-,-,putative tail assembly chaperone,20210607,-
2077135,65105630,KNT11_gp15,KNT11_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105631,KNT11_gp16,KNT11_gp16,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210607,-
2077135,65105632,KNT11_gp17,KNT11_gp17,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210607,-
2077135,65105633,KNT11_gp18,KNT11_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105634,KNT11_gp19,KNT11_gp19,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210607,-
2077135,65105635,KNT11_gp20,KNT11_gp20,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210607,-
2077135,65105636,KNT11_gp21,KNT11_gp21,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210607,-
2077135,65105637,KNT11_gp22,KNT11_gp22,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210607,-
2077135,65105638,KNT11_gp23,KNT11_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105639,KNT11_gp24,KNT11_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105640,KNT11_gp25,KNT11_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105641,KNT11_gp26,KNT11_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105642,KNT11_gp27,KNT11_gp27,-,-,-,-,putative lysin A,protein-coding,-,-,-,putative lysin A,20210607,-
2077135,65105643,KNT11_gp28,KNT11_gp28,-,-,-,-,putative lysin B,protein-coding,-,-,-,putative lysin B,20210607,-
2077135,65105644,KNT11_gp29,KNT11_gp29,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210607,-
2077135,65105645,KNT11_gp30,KNT11_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105646,KNT11_gp31,KNT11_gp31,-,-,-,-,putative toxin-antitoxin system protein,protein-coding,-,-,-,putative toxin-antitoxin system protein,20210607,-
2077135,65105647,KNT11_gp32,KNT11_gp32,-,-,-,-,putative toxin-antitoxin system protein,protein-coding,-,-,-,putative toxin-antitoxin system protein,20210607,-
2077135,65105648,KNT11_gp33,KNT11_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105649,KNT11_gp34,KNT11_gp34,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20210607,-
2077135,65105650,KNT11_gp35,KNT11_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105651,KNT11_gp36,KNT11_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105652,KNT11_gp37,KNT11_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105653,KNT11_gp38,KNT11_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105654,KNT11_gp39,KNT11_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105655,KNT11_gp40,KNT11_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105656,KNT11_gp41,KNT11_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105657,KNT11_gp42,KNT11_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105658,KNT11_gp43,KNT11_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105659,KNT11_gp44,KNT11_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105660,KNT11_gp45,KNT11_gp45,-,-,-,-,putative RecE,protein-coding,-,-,-,putative RecE,20210607,-
2077135,65105661,KNT11_gp46,KNT11_gp46,-,-,-,-,putative RecT,protein-coding,-,-,-,putative RecT,20210607,-
2077135,65105662,KNT11_gp47,KNT11_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105663,KNT11_gp48,KNT11_gp48,-,-,-,-,putative FtsK-like protein,protein-coding,-,-,-,putative FtsK-like protein,20210607,-
2077135,65105664,KNT11_gp49,KNT11_gp49,-,-,-,-,putative RusA-like DNA endonuclease,protein-coding,-,-,-,putative RusA-like DNA endonuclease,20210607,-
2077135,65105665,KNT11_gp50,KNT11_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105666,KNT11_gp51,KNT11_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105667,KNT11_gp52,KNT11_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105668,KNT11_gp53,KNT11_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105669,KNT11_gp54,KNT11_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105670,KNT11_gp55,KNT11_gp55,-,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20210607,-
2077135,65105671,KNT11_gp56,KNT11_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105672,KNT11_gp57,KNT11_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105673,KNT11_gp58,KNT11_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105674,KNT11_gp59,KNT11_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105675,KNT11_gp60,KNT11_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105676,KNT11_gp61,KNT11_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105677,KNT11_gp62,KNT11_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105678,KNT11_gp63,KNT11_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105679,KNT11_gp64,KNT11_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105680,KNT11_gp65,KNT11_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105681,KNT11_gp66,KNT11_gp66,-,-,-,-,putative helix-turn-helix DNA binding protein,protein-coding,-,-,-,putative helix-turn-helix DNA binding protein,20210607,-
2077135,65105682,KNT11_gp67,KNT11_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105683,KNT11_gp68,KNT11_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105684,KNT11_gp69,KNT11_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105685,KNT11_gp70,KNT11_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105686,KNT11_gp71,KNT11_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2077135,65105687,KNT11_gp72,KNT11_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
