#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483623,60321265,I5G62_gp02,I5G62_gp02,CRB2_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201129,-
2483623,60321266,I5G62_gp03,I5G62_gp03,CRB2_3,-,-,-,QueC-like queosine biosynthesis,protein-coding,-,-,-,QueC-like queosine biosynthesis,20210424,-
2483623,60321267,I5G62_gp04,I5G62_gp04,CRB2_4,-,-,-,QueD-like queosine biosynthesis,protein-coding,-,-,-,QueD-like queosine biosynthesis,20210424,-
2483623,60321268,I5G62_gp05,I5G62_gp05,CRB2_5,-,-,-,QueE-like queosine biosynthesis,protein-coding,-,-,-,QueE-like queosine biosynthesis,20210424,-
2483623,60321269,I5G62_gp06,I5G62_gp06,CRB2_6,-,-,-,GTP cyclohydrolase,protein-coding,-,-,-,GTP cyclohydrolase,20210424,-
2483623,60321270,I5G62_gp07,I5G62_gp07,CRB2_7,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
2483623,60321271,I5G62_gp08,I5G62_gp08,CRB2_8,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2483623,60321272,I5G62_gp09,I5G62_gp09,CRB2_9,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210424,-
2483623,60321273,I5G62_gp10,I5G62_gp10,CRB2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2483623,60321274,I5G62_gp11,I5G62_gp11,CRB2_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201129,-
2483623,60321275,I5G62_gp12,I5G62_gp12,CRB2_12,-,-,-,capsid morphogenesis protein,protein-coding,-,-,-,capsid morphogenesis protein,20210424,-
2483623,60321276,I5G62_gp13,I5G62_gp13,CRB2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321277,I5G62_gp14,I5G62_gp14,CRB2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2483623,60321278,I5G62_gp15,I5G62_gp15,CRB2_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2483623,60321279,I5G62_gp16,I5G62_gp16,CRB2_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321280,I5G62_gp17,I5G62_gp17,CRB2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321281,I5G62_gp18,I5G62_gp18,CRB2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321282,I5G62_gp19,I5G62_gp19,CRB2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321283,I5G62_gp20,I5G62_gp20,CRB2_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321284,I5G62_gp21,I5G62_gp21,CRB2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321285,I5G62_gp22,I5G62_gp22,CRB2_22,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
2483623,60321286,I5G62_gp23,I5G62_gp23,CRB2_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321287,I5G62_gp24,I5G62_gp24,CRB2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321288,I5G62_gp25,I5G62_gp25,CRB2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321289,I5G62_gp26,I5G62_gp26,CRB2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321290,I5G62_gp27,I5G62_gp27,CRB2_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2483623,60321291,I5G62_gp28,I5G62_gp28,CRB2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321292,I5G62_gp29,I5G62_gp29,CRB2_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2483623,60321293,I5G62_gp30,I5G62_gp30,CRB2_30,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2483623,60321294,I5G62_gp31,I5G62_gp31,CRB2_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2483623,60321295,I5G62_gp32,I5G62_gp32,CRB2_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2483623,60321296,I5G62_gp33,I5G62_gp33,CRB2_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2483623,60321297,I5G62_gp34,I5G62_gp34,CRB2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321298,I5G62_gp35,I5G62_gp35,CRB2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321299,I5G62_gp36,I5G62_gp36,CRB2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321300,I5G62_gp37,I5G62_gp37,CRB2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321301,I5G62_gp38,I5G62_gp38,CRB2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321302,I5G62_gp39,I5G62_gp39,CRB2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321303,I5G62_gp40,I5G62_gp40,CRB2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321304,I5G62_gp41,I5G62_gp41,CRB2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321305,I5G62_gp42,I5G62_gp42,CRB2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321306,I5G62_gp43,I5G62_gp43,CRB2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321307,I5G62_gp44,I5G62_gp44,CRB2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321308,I5G62_gp45,I5G62_gp45,CRB2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321309,I5G62_gp46,I5G62_gp46,CRB2_46,-,-,-,AlpA-like protein,protein-coding,-,-,-,AlpA-like protein,20201129,-
2483623,60321310,I5G62_gp47,I5G62_gp47,CRB2_47,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
2483623,60321311,I5G62_gp48,I5G62_gp48,CRB2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321312,I5G62_gp49,I5G62_gp49,CRB2_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
