#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1923697,30999724,B1T80_s1gp1,B1T80_s1gp1,-,-,-,-,RdRp,protein-coding,-,-,-,RdRp,20180817,-
1923697,30999726,B1T80_s2gp1,B1T80_s2gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180817,-
1923697,30999728,B1T80_s3gp1,B1T80_s3gp1,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20180817,-
1923697,30999730,B1T80_s4gp1,B1T80_s4gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180817,-
1923697,30999732,B1T80_s5gp1,B1T80_s5gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180817,-
1923697,30999734,B1T80_s6gp1,B1T80_s6gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180817,-
1923697,31076939,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20190603,-
