#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575328,55615944,HWC20_gp02,HWC20_gp02,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210424,-
2575328,55615945,HWC20_gp03,HWC20_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615946,HWC20_gp04,HWC20_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615947,HWC20_gp05,HWC20_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615948,HWC20_gp06,HWC20_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615949,HWC20_gp07,HWC20_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615950,HWC20_gp08,HWC20_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615951,HWC20_gp09,HWC20_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615952,HWC20_gp10,HWC20_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615953,HWC20_gp11,HWC20_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615954,HWC20_gp12,HWC20_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615955,HWC20_gp13,HWC20_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615956,HWC20_gp14,HWC20_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615957,HWC20_gp15,HWC20_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615958,HWC20_gp16,HWC20_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615959,HWC20_gp17,HWC20_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615960,HWC20_gp18,HWC20_gp18,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
2575328,55615961,HWC20_gp19,HWC20_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615962,HWC20_gp20,HWC20_gp20,-,-,-,-,ATP-dependent RNA helicase,protein-coding,-,-,-,ATP-dependent RNA helicase,20201217,-
2575328,55615963,HWC20_gp21,HWC20_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615964,HWC20_gp22,HWC20_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615965,HWC20_gp23,HWC20_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615966,HWC20_gp24,HWC20_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
