#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024314,54994595,HOT52_gp02,HOT52_gp02,Sf11_2,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210123,-
2024314,54994596,HOT52_gp03,HOT52_gp03,Sf11_3,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210123,-
2024314,54994597,HOT52_gp04,HOT52_gp04,Sf11_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
2024314,54994598,HOT52_gp05,HOT52_gp05,Sf11_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2024314,54994599,HOT52_gp06,HOT52_gp06,Sf11_6,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
2024314,54994600,HOT52_gp07,HOT52_gp07,Sf11_7,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2024314,54994601,HOT52_gp08,HOT52_gp08,Sf11_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994602,HOT52_gp09,HOT52_gp09,Sf11_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994603,HOT52_gp10,HOT52_gp10,Sf11_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994604,HOT52_gp11,HOT52_gp11,Sf11_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994605,HOT52_gp12,HOT52_gp12,Sf11_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994606,HOT52_gp13,HOT52_gp13,Sf11_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994607,HOT52_gp14,HOT52_gp14,Sf11_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994608,HOT52_gp15,HOT52_gp15,Sf11_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994609,HOT52_gp16,HOT52_gp16,Sf11_16,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210123,-
2024314,54994610,HOT52_gp17,HOT52_gp17,Sf11_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994611,HOT52_gp18,HOT52_gp18,Sf11_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994612,HOT52_gp19,HOT52_gp19,Sf11_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994613,HOT52_gp20,HOT52_gp20,Sf11_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994614,HOT52_gp21,HOT52_gp21,Sf11_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994615,HOT52_gp22,HOT52_gp22,Sf11_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994616,HOT52_gp23,HOT52_gp23,Sf11_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994617,HOT52_gp24,HOT52_gp24,Sf11_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994618,HOT52_gp25,HOT52_gp25,Sf11_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994619,HOT52_gp26,HOT52_gp26,Sf11_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994620,HOT52_gp27,HOT52_gp27,Sf11_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994621,HOT52_gp28,HOT52_gp28,Sf11_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994622,HOT52_gp29,HOT52_gp29,Sf11_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994623,HOT52_gp30,HOT52_gp30,Sf11_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994624,HOT52_gp31,HOT52_gp31,Sf11_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994625,HOT52_gp32,HOT52_gp32,Sf11_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994626,HOT52_gp33,HOT52_gp33,Sf11_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994627,HOT52_gp34,HOT52_gp34,Sf11_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994628,HOT52_gp35,HOT52_gp35,Sf11_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994629,HOT52_gp36,HOT52_gp36,Sf11_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994630,HOT52_gp37,HOT52_gp37,Sf11_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
