#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2070200,55809384,HYP60_gt002,HYP60_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2070200,55809385,HYP60_gt003,HYP60_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2070200,55809386,HYP60_gp209,HYP60_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809387,HYP60_gp208,HYP60_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809388,HYP60_gp207,HYP60_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809389,HYP60_gp002,HYP60_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809390,HYP60_gp003,HYP60_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809391,HYP60_gp004,HYP60_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809392,HYP60_gp005,HYP60_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809393,HYP60_gp006,HYP60_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2070200,55809394,HYP60_gp007,HYP60_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2070200,55809395,HYP60_gp008,HYP60_gp008,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210417,-
2070200,55809396,HYP60_gp009,HYP60_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070200,55809397,HYP60_gp010,HYP60_gp010,-,-,-,-,putative sliding clamp protein,protein-coding,-,-,-,putative sliding clamp protein,20200919,-
2070200,55809398,HYP60_gp011,HYP60_gp011,-,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20210417,-
2070200,55809399,HYP60_gp012,HYP60_gp012,-,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20210424,-
2070200,55809400,HYP60_gp013,HYP60_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809401,HYP60_gp014,HYP60_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070200,55809402,HYP60_gp015,HYP60_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070200,55809403,HYP60_gp016,HYP60_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070200,55809404,HYP60_gp017,HYP60_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070200,55809405,HYP60_gp018,HYP60_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070200,55809406,HYP60_gp019,HYP60_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2070200,55809407,HYP60_gp020,HYP60_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
