#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147140,14017165,F482_gp02,F482_gp02,SPN3UB_0002,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1147140,14017166,F482_gp03,F482_gp03,SPN3UB_0003,-,-,-,DUF1073 domain-containing protein,protein-coding,-,-,-,DUF1073 domain-containing protein,20210123,-
1147140,14017167,F482_gp04,F482_gp04,SPN3UB_0004,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210406,-
1147140,14017168,F482_gp05,F482_gp05,SPN3UB_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017169,F482_gp06,F482_gp06,SPN3UB_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017170,F482_gp07,F482_gp07,SPN3UB_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017171,F482_gp08,F482_gp08,SPN3UB_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017172,F482_gp09,F482_gp09,SPN3UB_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017173,F482_gp10,F482_gp10,SPN3UB_0010,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201221,-
1147140,14017174,F482_gp11,F482_gp11,SPN3UB_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017175,F482_gp12,F482_gp12,SPN3UB_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017176,F482_gp13,F482_gp13,SPN3UB_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017177,F482_gp14,F482_gp14,SPN3UB_0014,-,-,-,immunoglobulin domain-containing protein,protein-coding,-,-,-,immunoglobulin domain-containing protein,20210123,-
1147140,14017178,F482_gp15,F482_gp15,SPN3UB_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017179,F482_gp16,F482_gp16,SPN3UB_0016,-,-,-,KilA-N domain-containing protein,protein-coding,-,-,-,KilA-N domain-containing protein,20210123,-
1147140,14017180,F482_gp17,F482_gp17,SPN3UB_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017181,F482_gp18,F482_gp18,SPN3UB_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017182,F482_gp19,F482_gp19,SPN3UB_0019,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20210123,-
1147140,14017183,F482_gp20,F482_gp20,SPN3UB_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017184,F482_gp21,F482_gp21,SPN3UB_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017185,F482_gp22,F482_gp22,SPN3UB_0022,-,-,-,ORF6N domain-containing protein,protein-coding,-,-,-,ORF6N domain-containing protein,20210123,-
1147140,14017186,F482_gp23,F482_gp23,SPN3UB_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017187,F482_gp24,F482_gp24,SPN3UB_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017188,F482_gp25,F482_gp25,SPN3UB_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1147140,14017189,F482_gp26,F482_gp26,SPN3UB_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017190,F482_gp27,F482_gp27,SPN3UB_0027,-,-,-,membrane lipoprotein lipid attachment site-containing protein,protein-coding,-,-,-,membrane lipoprotein lipid attachment site-containing protein,20210123,-
1147140,14017191,F482_gp28,F482_gp28,SPN3UB_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017192,F482_gp29,F482_gp29,SPN3UB_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017193,F482_gp30,F482_gp30,SPN3UB_0030,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210123,-
1147140,14017194,F482_gp31,F482_gp31,SPN3UB_0031,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210123,-
1147140,14017195,F482_gp32,F482_gp32,SPN3UB_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017196,F482_gp33,F482_gp33,SPN3UB_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
