#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235645,16835326,P759_gp02,P759_gp02,PHL010M04_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235645,16835327,P759_gp03,P759_gp03,PHL010M04_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235645,16835328,P759_gp04,P759_gp04,PHL010M04_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835329,P759_gp05,P759_gp05,PHL010M04_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235645,16835330,P759_gp06,P759_gp06,PHL010M04_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235645,16835331,P759_gp07,P759_gp07,PHL010M04_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835332,P759_gp08,P759_gp08,PHL010M04_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835333,P759_gp09,P759_gp09,PHL010M04_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835334,P759_gp10,P759_gp10,PHL010M04_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835335,P759_gp11,P759_gp11,PHL010M04_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235645,16835336,P759_gp12,P759_gp12,PHL010M04_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835337,P759_gp13,P759_gp13,PHL010M04_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835338,P759_gp14,P759_gp14,PHL010M04_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235645,16835339,P759_gp15,P759_gp15,PHL010M04_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235645,16835340,P759_gp16,P759_gp16,PHL010M04_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235645,16835341,P759_gp17,P759_gp17,PHL010M04_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835342,P759_gp18,P759_gp18,PHL010M04_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835343,P759_gp19,P759_gp19,PHL010M04_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235645,16835344,P759_gp20,P759_gp20,PHL010M04_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235645,16835345,P759_gp21,P759_gp21,PHL010M04_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235645,16835346,P759_gp22,P759_gp22,PHL010M04_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835347,P759_gp23,P759_gp23,PHL010M04_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235645,16835348,P759_gp24,P759_gp24,PHL010M04_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835349,P759_gp25,P759_gp25,PHL010M04_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835350,P759_gp26,P759_gp26,PHL010M04_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235645,16835351,P759_gp27,P759_gp27,PHL010M04_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
