#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591370,56134993,H1O03_gp02,H1O03_gp02,ALINA_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591370,56134994,H1O03_gp03,H1O03_gp03,ALINA_3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591370,56134995,H1O03_gp04,H1O03_gp04,ALINA_4,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201217,-
2591370,56134996,H1O03_gp05,H1O03_gp05,ALINA_5,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210424,-
2591370,56134997,H1O03_gp06,H1O03_gp06,ALINA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56134998,H1O03_gp07,H1O03_gp07,ALINA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591370,56134999,H1O03_gp08,H1O03_gp08,ALINA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135000,H1O03_gp09,H1O03_gp09,ALINA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591370,56135001,H1O03_gp10,H1O03_gp10,ALINA_10,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20200724,-
2591370,56135002,H1O03_gp11,H1O03_gp11,ALINA_11,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20200724,-
2591370,56135003,H1O03_gp12,H1O03_gp12,ALINA_12,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2591370,56135004,H1O03_gp13,H1O03_gp13,ALINA_13,-,-,-,putative tail protein/depolymerase,protein-coding,-,-,-,putative tail protein/depolymerase,20201217,-
2591370,56135005,H1O03_gp14,H1O03_gp14,ALINA_14,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201217,-
2591370,56135006,H1O03_gp15,H1O03_gp15,ALINA_15,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20201217,-
2591370,56135007,H1O03_gp16,H1O03_gp16,ALINA_16,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20210424,-
2591370,56135008,H1O03_gp17,H1O03_gp17,ALINA_17,-,-,-,putative tapemeasure protein,protein-coding,-,-,-,putative tapemeasure protein,20201217,-
2591370,56135009,H1O03_gp18,H1O03_gp18,ALINA_18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210424,-
2591370,56135010,H1O03_gp19,H1O03_gp19,ALINA_19,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201217,-
2591370,56135011,H1O03_gp20,H1O03_gp20,ALINA_20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210424,-
2591370,56135012,H1O03_gp21,H1O03_gp21,ALINA_21,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201217,-
2591370,56135013,H1O03_gp22,H1O03_gp22,ALINA_22,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2591370,56135014,H1O03_gp23,H1O03_gp23,ALINA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135015,H1O03_gp24,H1O03_gp24,ALINA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135016,H1O03_gp25,H1O03_gp25,ALINA_25,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201217,-
2591370,56135017,H1O03_gp26,H1O03_gp26,ALINA_26,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20200724,-
2591370,56135018,H1O03_gp27,H1O03_gp27,ALINA_27,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210424,-
2591370,56135019,H1O03_gp28,H1O03_gp28,ALINA_28,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210424,-
2591370,56135020,H1O03_gp29,H1O03_gp29,ALINA_29,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201217,-
2591370,56135021,H1O03_gp30,H1O03_gp30,ALINA_30,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200912,-
2591370,56135022,H1O03_gp31,H1O03_gp31,ALINA_31,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201217,-
2591370,56135023,H1O03_gp32,H1O03_gp32,ALINA_32,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210424,-
2591370,56135024,H1O03_gp33,H1O03_gp33,ALINA_33,-,-,-,putative DNA adenine methyltransferase,protein-coding,-,-,-,putative DNA adenine methyltransferase,20210424,-
2591370,56135025,H1O03_gp34,H1O03_gp34,ALINA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135026,H1O03_gp35,H1O03_gp35,ALINA_35,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200724,-
2591370,56135027,H1O03_gp36,H1O03_gp36,ALINA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135028,H1O03_gp37,H1O03_gp37,ALINA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591370,56135029,H1O03_gp38,H1O03_gp38,ALINA_38,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210424,-
