#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965472,56137703,H1Z35_gp002,H1Z35_gp002,AM4_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210515,-
1965472,56137704,H1Z35_gp003,H1Z35_gp003,AM4_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137705,H1Z35_gp004,H1Z35_gp004,AM4_004,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20210515,-
1965472,56137706,H1Z35_gp005,H1Z35_gp005,AM4_005,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965472,56137707,H1Z35_gp006,H1Z35_gp006,AM4_006,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20200724,-
1965472,56137708,H1Z35_gp007,H1Z35_gp007,AM4_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137709,H1Z35_gp008,H1Z35_gp008,AM4_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137710,H1Z35_gp009,H1Z35_gp009,AM4_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137711,H1Z35_gp010,H1Z35_gp010,AM4_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137712,H1Z35_gp011,H1Z35_gp011,AM4_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137713,H1Z35_gp012,H1Z35_gp012,AM4_012,-,-,-,YgiT family zinc finger/helix-turn-helix protein,protein-coding,-,-,-,YgiT family zinc finger/helix-turn-helix protein,20200724,-
1965472,56137714,H1Z35_gp013,H1Z35_gp013,AM4_013,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210515,-
1965472,56137715,H1Z35_gp014,H1Z35_gp014,AM4_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137716,H1Z35_gp015,H1Z35_gp015,AM4_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137717,H1Z35_gp016,H1Z35_gp016,AM4_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137718,H1Z35_gp017,H1Z35_gp017,AM4_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137719,H1Z35_gp018,H1Z35_gp018,AM4_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137720,H1Z35_gp019,H1Z35_gp019,AM4_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137721,H1Z35_gp020,H1Z35_gp020,AM4_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137722,H1Z35_gp021,H1Z35_gp021,AM4_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137723,H1Z35_gp022,H1Z35_gp022,AM4_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137724,H1Z35_gp023,H1Z35_gp023,AM4_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137725,H1Z35_gp024,H1Z35_gp024,AM4_024,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210515,-
1965472,56137726,H1Z35_gp025,H1Z35_gp025,AM4_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137727,H1Z35_gp026,H1Z35_gp026,AM4_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137728,H1Z35_gp027,H1Z35_gp027,AM4_027,-,-,-,AAA domain-containing protein,protein-coding,-,-,-,AAA domain-containing protein,20210515,-
1965472,56137729,H1Z35_gp028,H1Z35_gp028,AM4_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137730,H1Z35_gp029,H1Z35_gp029,AM4_029,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
1965472,56137731,H1Z35_gp030,H1Z35_gp030,AM4_030,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
1965472,56137732,H1Z35_gp031,H1Z35_gp031,AM4_031,-,-,-,single stranded DNA specific exonuclease,protein-coding,-,-,-,single stranded DNA specific exonuclease,20210515,-
1965472,56137733,H1Z35_gp032,H1Z35_gp032,AM4_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137734,H1Z35_gp033,H1Z35_gp033,AM4_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137735,H1Z35_gp034,H1Z35_gp034,AM4_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137736,H1Z35_gp035,H1Z35_gp035,AM4_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137737,H1Z35_gp036,H1Z35_gp036,AM4_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137738,H1Z35_gp037,H1Z35_gp037,AM4_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137739,H1Z35_gp038,H1Z35_gp038,AM4_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137740,H1Z35_gp039,H1Z35_gp039,AM4_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137741,H1Z35_gp040,H1Z35_gp040,AM4_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137742,H1Z35_gp041,H1Z35_gp041,AM4_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137743,H1Z35_gp042,H1Z35_gp042,AM4_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137744,H1Z35_gp043,H1Z35_gp043,AM4_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137745,H1Z35_gp044,H1Z35_gp044,AM4_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137746,H1Z35_gp045,H1Z35_gp045,AM4_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137747,H1Z35_gp046,H1Z35_gp046,AM4_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137748,H1Z35_gp047,H1Z35_gp047,AM4_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137749,H1Z35_gp048,H1Z35_gp048,AM4_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137750,H1Z35_gp049,H1Z35_gp049,AM4_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137751,H1Z35_gp050,H1Z35_gp050,AM4_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137752,H1Z35_gp051,H1Z35_gp051,AM4_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137753,H1Z35_gp052,H1Z35_gp052,AM4_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137754,H1Z35_gp053,H1Z35_gp053,AM4_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137755,H1Z35_gp054,H1Z35_gp054,AM4_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137756,H1Z35_gp055,H1Z35_gp055,AM4_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137757,H1Z35_gp056,H1Z35_gp056,AM4_056,-,-,-,AAA superfamily ATPase,protein-coding,-,-,-,AAA superfamily ATPase,20210515,-
1965472,56137758,H1Z35_gt001,H1Z35_gt001,AM4_tRNA3,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965472,56137759,H1Z35_gp193,H1Z35_gp193,AM4_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137760,H1Z35_gp192,H1Z35_gp192,AM4_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137761,H1Z35_gp191,H1Z35_gp191,AM4_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137762,H1Z35_gp190,H1Z35_gp190,AM4_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137763,H1Z35_gt002,H1Z35_gt002,AM4_tRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965472,56137764,H1Z35_gp001,H1Z35_gp001,AM4_001,-,-,-,integrase,protein-coding,-,-,-,integrase,20210515,-
1965472,56137765,H1Z35_gp188,H1Z35_gp188,AM4_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137766,H1Z35_gp187,H1Z35_gp187,AM4_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137767,H1Z35_gp186,H1Z35_gp186,AM4_065,-,-,-,DNA gyrase,protein-coding,-,-,-,DNA gyrase,20210515,-
1965472,56137768,H1Z35_gp185,H1Z35_gp185,AM4_066,-,-,-,DNA gyrase subunit A-topoisomerase,protein-coding,-,-,-,DNA gyrase subunit A-topoisomerase,20210515,-
1965472,56137769,H1Z35_gp184,H1Z35_gp184,AM4_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137770,H1Z35_gp183,H1Z35_gp183,AM4_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137771,H1Z35_gp182,H1Z35_gp182,AM4_069,-,-,-,nucleoside-2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside-2-deoxyribosyltransferase,20210515,-
1965472,56137772,H1Z35_gp181,H1Z35_gp181,AM4_070,-,-,-,nicotinamide mononucleotide transporter,protein-coding,-,-,-,nicotinamide mononucleotide transporter,20210515,-
1965472,56137773,H1Z35_gp180,H1Z35_gp180,AM4_071,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20210515,-
1965472,56137774,H1Z35_gp179,H1Z35_gp179,AM4_072,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20210515,-
1965472,56137775,H1Z35_gp178,H1Z35_gp178,AM4_073,-,-,-,ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase activator small subunit,20210515,-
1965472,56137776,H1Z35_gp177,H1Z35_gp177,AM4_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137777,H1Z35_gp176,H1Z35_gp176,AM4_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137778,H1Z35_gp175,H1Z35_gp175,AM4_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137779,H1Z35_gp174,H1Z35_gp174,AM4_077,-,-,-,ribonucleotide diphosphate reductase glutaredoxin subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase glutaredoxin subunit,20210515,-
1965472,56137780,H1Z35_gp173,H1Z35_gp173,AM4_078,-,-,-,ribonucleotide reductase stimulatory protein,protein-coding,-,-,-,ribonucleotide reductase stimulatory protein,20210515,-
1965472,56137781,H1Z35_gp172,H1Z35_gp172,AM4_079,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,protein-coding,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,20210515,-
1965472,56137782,H1Z35_gp171,H1Z35_gp171,AM4_080,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210515,-
1965472,56137783,H1Z35_gp170,H1Z35_gp170,AM4_081,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,protein-coding,-,-,-,ribonucleotide diphosphate reductase subunit aplpha,20210515,-
