#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099652,40101238,FDJ45_gp077,FDJ45_gp077,Vid5_gp78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101239,FDJ45_gp076,FDJ45_gp076,Vid5_gp79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101240,FDJ45_gp075,FDJ45_gp075,Vid5_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101241,FDJ45_gp074,FDJ45_gp074,Vid5_gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101242,FDJ45_gp073,FDJ45_gp073,Vid5_gp82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101243,FDJ45_gp072,FDJ45_gp072,Vid5_gp83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101244,FDJ45_gp071,FDJ45_gp071,Vid5_gp84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101245,FDJ45_gp070,FDJ45_gp070,Vid5_gp85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101246,FDJ45_gp069,FDJ45_gp069,Vid5_gp86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101247,FDJ45_gp068,FDJ45_gp068,Vid5_gp87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101248,FDJ45_gp067,FDJ45_gp067,Vid5_gp88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101249,FDJ45_gp066,FDJ45_gp066,Vid5_gp89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101250,FDJ45_gp065,FDJ45_gp065,Vid5_gp90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101251,FDJ45_gp064,FDJ45_gp064,Vid5_gp91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101252,FDJ45_gp063,FDJ45_gp063,Vid5_gp92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101253,FDJ45_gp062,FDJ45_gp062,Vid5_gp93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101254,FDJ45_gp061,FDJ45_gp061,Vid5_gp94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101255,FDJ45_gp060,FDJ45_gp060,Vid5_gp95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101256,FDJ45_gp059,FDJ45_gp059,Vid5_gp96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099652,40101257,FDJ45_gp058,FDJ45_gp058,Vid5_gp97,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
2099652,40101258,FDJ45_gp057,FDJ45_gp057,Vid5_gp98,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2099652,40101259,FDJ45_gp056,FDJ45_gp056,Vid5_gp99,-,-,-,lysis regulatory protein,protein-coding,-,-,-,lysis regulatory protein,20200910,-
2099652,40120568,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
