#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500819,40079602,FDH76_gp02,FDH76_gp02,PHL117M01_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500819,40079603,FDH76_gp03,FDH76_gp03,PHL117M01_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500819,40079604,FDH76_gp04,FDH76_gp04,PHL117M01_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079605,FDH76_gp05,FDH76_gp05,PHL117M01_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500819,40079606,FDH76_gp06,FDH76_gp06,PHL117M01_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500819,40079607,FDH76_gp07,FDH76_gp07,PHL117M01_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079608,FDH76_gp08,FDH76_gp08,PHL117M01_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079609,FDH76_gp09,FDH76_gp09,PHL117M01_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079610,FDH76_gp10,FDH76_gp10,PHL117M01_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079611,FDH76_gp11,FDH76_gp11,PHL117M01_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500819,40079612,FDH76_gp12,FDH76_gp12,PHL117M01_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079613,FDH76_gp13,FDH76_gp13,PHL117M01_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079614,FDH76_gp14,FDH76_gp14,PHL117M01_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500819,40079615,FDH76_gp15,FDH76_gp15,PHL117M01_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500819,40079616,FDH76_gp16,FDH76_gp16,PHL117M01_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500819,40079617,FDH76_gp17,FDH76_gp17,PHL117M01_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079618,FDH76_gp18,FDH76_gp18,PHL117M01_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079619,FDH76_gp19,FDH76_gp19,PHL117M01_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500819,40079620,FDH76_gp20,FDH76_gp20,PHL117M01_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500819,40079621,FDH76_gp21,FDH76_gp21,PHL117M01_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500819,40079622,FDH76_gp22,FDH76_gp22,PHL117M01_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079623,FDH76_gp23,FDH76_gp23,PHL117M01_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500819,40079624,FDH76_gp24,FDH76_gp24,PHL117M01_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079625,FDH76_gp25,FDH76_gp25,PHL117M01_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079626,FDH76_gp26,FDH76_gp26,PHL117M01_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500819,40079627,FDH76_gp27,FDH76_gp27,PHL117M01_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
