#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1932713,35382852,C1186_gp01,C1186_gp01,-,-,-,-,major virion protein,protein-coding,-,-,-,major virion protein,20200910,-
1932713,35382853,C1186_gp33,C1186_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382854,C1186_gp02,C1186_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382855,C1186_gp03,C1186_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382856,C1186_gp04,C1186_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382857,C1186_gp05,C1186_gp05,-,-,-,-,putative trypsin-like protein,protein-coding,-,-,-,putative trypsin-like protein,20200910,-
1932713,35382858,C1186_gp06,C1186_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382859,C1186_gp07,C1186_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382860,C1186_gp08,C1186_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382861,C1186_gp09,C1186_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382862,C1186_gp10,C1186_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382863,C1186_gp11,C1186_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382864,C1186_gp12,C1186_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382865,C1186_gp13,C1186_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382866,C1186_gp14,C1186_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382867,C1186_gp15,C1186_gp15,-,-,-,-,putative RHH DNA-binding protein,protein-coding,-,-,-,putative RHH DNA-binding protein,20200910,-
1932713,35382868,C1186_gp16,C1186_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382869,C1186_gp17,C1186_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382870,C1186_gp18,C1186_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382871,C1186_gp19,C1186_gp19,-,-,-,-,flagellin-like protein,protein-coding,-,-,-,flagellin-like protein,20200910,-
1932713,35382872,C1186_gp20,C1186_gp20,-,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200910,-
1932713,35382873,C1186_gp21,C1186_gp21,-,-,-,-,hypothetical putative RHH DNA-binding protein,protein-coding,-,-,-,hypothetical putative RHH DNA-binding protein,20200910,-
1932713,35382874,C1186_gp22,C1186_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382875,C1186_gp23,C1186_gp23,-,-,-,-,acyl-coA dehydrogenase,protein-coding,-,-,-,acyl-coA dehydrogenase,20200910,-
1932713,35382876,C1186_gp24,C1186_gp24,-,-,-,-,GMP synthase,protein-coding,-,-,-,GMP synthase,20200910,-
1932713,35382877,C1186_gp25,C1186_gp25,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1932713,35382878,C1186_gt01,C1186_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1932713,35382879,C1186_gp32,C1186_gp32,-,-,-,-,putative ATP-binding protein,protein-coding,-,-,-,putative ATP-binding protein,20200910,-
1932713,35382880,C1186_gp31,C1186_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382881,C1186_gp30,C1186_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382882,C1186_gp29,C1186_gp29,-,-,-,-,putative Glutamyl-tRNAGlu reductase,protein-coding,-,-,-,putative Glutamyl-tRNAGlu reductase,20200910,-
1932713,35382883,C1186_gp28,C1186_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382884,C1186_gp27,C1186_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35382885,C1186_gp26,C1186_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932713,35984764,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210208,-
