#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5518,3974675,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gibberella zeae).,other,-,-,-,-,20210529,-
5518,5183108,rps3,GizefMp01,-,-,MT,-,small ribosomal protein 3,protein-coding,-,-,-,-,20160504,-
5518,5183109,cox3,GizefMp15,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
5518,5183110,atp6,GizefMp14,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
5518,5183111,cox2,GizefMp06,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,GIY endonuclease|LAGLIDADG endonuclease,20181215,-
5518,5183112,cox1,GizefMp10,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,GIY endonuclease|LAGLIDADG endonuclease,20210129,-
5518,5183113,nad6,GizefMp16,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 6,protein-coding,-,-,-,-,20210129,-
5518,5183114,nad4,GizefMp12,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 4,protein-coding,-,-,-,-,20181215,-
5518,5183115,nad3,GizefMp04,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 3,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
5518,5183116,atp9,GizefMp05,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,GIY endonuclease,20210129,-
5518,5183117,atp8,GizefMp13,-,-,MT,-,ATP synthase subunit 8,protein-coding,-,-,-,-,20160813,-
5518,5183118,nad5,GizefMp08,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 5,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
5518,5183119,cob,GizefMp09,-,-,MT,-,ubiquinol cytochrome c oxidoreductase apocytochrome b,protein-coding,-,-,-,GIY endonuclease|LAGLIDADG endonuclease|hypothetical protein,20210129,-
5518,5183120,nad2,GizefMp03,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 2,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
5518,5183121,nad4L,GizefMp07,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 4L,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
5518,5183122,nad1,GizefMp11,-,-,MT,-,NADH:ubiquinone oxidoreductase subunit 1,protein-coding,-,-,-,GIY endonuclease,20210129,-
5518,5563236,GizefMt39,GizefMt39,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563237,GizefMt31,GizefMt31,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563238,GizefMt34,GizefMt34,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563239,GizefMt20,GizefMt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563240,GizefMt19,GizefMt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563241,GizefMt48,GizefMt48,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563242,GizefMt44,GizefMt44,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563243,GizefMt42,GizefMt42,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563244,GizefMp18,GizefMp18,-,-,MT,-,ORF1931,protein-coding,-,-,-,-,20150715,-
5518,5563245,GizefMt21,GizefMt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563246,GizefMr34,GizefMr34,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20150226,-
5518,5563247,GizefMt22,GizefMt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563248,GizefMt46,GizefMt46,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563249,GizefMt37,GizefMt37,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563250,GizefMt30,GizefMt30,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563251,GizefMt26,GizefMt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563252,GizefMt38,GizefMt38,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563253,GizefMt29,GizefMt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563254,GizefMt35,GizefMt35,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563255,GizefMt28,GizefMt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563256,GizefMt41,GizefMt41,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563257,GizefMt32,GizefMt32,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563258,GizefMt27,GizefMt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563259,GizefMt43,GizefMt43,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563260,GizefMt47,GizefMt47,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563261,GizefMt24,GizefMt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563262,GizefMt25,GizefMt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563263,GizefMt36,GizefMt36,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563264,GizefMt23,GizefMt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563265,GizefMt45,GizefMt45,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150226,-
5518,5563266,GizefMr17,GizefMr17,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20150226,-
