#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229760,26643032,AVV48_gp02,AVV48_gp02,phiAC-1_0002,-,-,-,putative phosphoadenosine phosphosulfate reductase,protein-coding,-,-,-,putative phosphoadenosine phosphosulfate reductase,20201221,-
1229760,26643033,AVV48_gp03,AVV48_gp03,phiAC-1_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643034,AVV48_gp04,AVV48_gp04,phiAC-1_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643035,AVV48_gp05,AVV48_gp05,phiAC-1_0005,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20201221,-
1229760,26643036,AVV48_gp06,AVV48_gp06,phiAC-1_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643037,AVV48_gp07,AVV48_gp07,phiAC-1_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643038,AVV48_gp08,AVV48_gp08,phiAC-1_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643039,AVV48_gp09,AVV48_gp09,phiAC-1_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643040,AVV48_gp10,AVV48_gp10,phiAC-1_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643041,AVV48_gp11,AVV48_gp11,phiAC-1_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643042,AVV48_gp12,AVV48_gp12,phiAC-1_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643043,AVV48_gp13,AVV48_gp13,phiAC-1_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643044,AVV48_gp14,AVV48_gp14,phiAC-1_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643045,AVV48_gp15,AVV48_gp15,phiAC-1_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643046,AVV48_gp16,AVV48_gp16,phiAC-1_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643047,AVV48_gp17,AVV48_gp17,phiAC-1_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643048,AVV48_gp18,AVV48_gp18,phiAC-1_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643049,AVV48_gp19,AVV48_gp19,phiAC-1_0019,-,-,-,putative superinfection immunity protein,protein-coding,-,-,-,putative superinfection immunity protein,20201221,-
1229760,26643050,AVV48_gp20,AVV48_gp20,phiAC-1_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643051,AVV48_gp21,AVV48_gp21,phiAC-1_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643052,AVV48_gp22,AVV48_gp22,phiAC-1_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643053,AVV48_gp23,AVV48_gp23,phiAC-1_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643054,AVV48_gp24,AVV48_gp24,phiAC-1_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643055,AVV48_gp25,AVV48_gp25,phiAC-1_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643056,AVV48_gp26,AVV48_gp26,phiAC-1_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643057,AVV48_gp27,AVV48_gp27,phiAC-1_0027,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1229760,26643058,AVV48_gp28,AVV48_gp28,phiAC-1_0028,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1229760,26643059,AVV48_gp29,AVV48_gp29,phiAC-1_0029,-,-,-,putative phage head portal protein,protein-coding,-,-,-,putative phage head portal protein,20201221,-
1229760,26643060,AVV48_gp30,AVV48_gp30,phiAC-1_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643061,AVV48_gp31,AVV48_gp31,phiAC-1_0031,-,-,-,putative phage head morphogenesis protein,protein-coding,-,-,-,putative phage head morphogenesis protein,20201221,-
1229760,26643062,AVV48_gp32,AVV48_gp32,phiAC-1_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643063,AVV48_gp33,AVV48_gp33,phiAC-1_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643064,AVV48_gp34,AVV48_gp34,phiAC-1_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643065,AVV48_gp35,AVV48_gp35,phiAC-1_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643066,AVV48_gp36,AVV48_gp36,phiAC-1_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643067,AVV48_gp37,AVV48_gp37,phiAC-1_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643068,AVV48_gp38,AVV48_gp38,phiAC-1_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643069,AVV48_gp39,AVV48_gp39,phiAC-1_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643070,AVV48_gp40,AVV48_gp40,phiAC-1_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643071,AVV48_gp41,AVV48_gp41,phiAC-1_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643072,AVV48_gp42,AVV48_gp42,phiAC-1_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643073,AVV48_gp43,AVV48_gp43,phiAC-1_0043,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201221,-
1229760,26643074,AVV48_gp44,AVV48_gp44,phiAC-1_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643075,AVV48_gp45,AVV48_gp45,phiAC-1_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643076,AVV48_gp46,AVV48_gp46,phiAC-1_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643077,AVV48_gp47,AVV48_gp47,phiAC-1_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643078,AVV48_gp48,AVV48_gp48,phiAC-1_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643079,AVV48_gp49,AVV48_gp49,phiAC-1_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643080,AVV48_gp50,AVV48_gp50,phiAC-1_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643081,AVV48_gp51,AVV48_gp51,phiAC-1_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
