#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696452,56133381,H1N81_gp02,H1N81_gp02,tonnikala_2,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210313,-
2696452,56133382,H1N81_gp03,H1N81_gp03,tonnikala_3,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210313,-
2696452,56133383,H1N81_gp04,H1N81_gp04,tonnikala_4,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210403,-
2696452,56133384,H1N81_gp05,H1N81_gp05,tonnikala_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133385,H1N81_gp06,H1N81_gp06,tonnikala_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133386,H1N81_gp07,H1N81_gp07,tonnikala_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133387,H1N81_gp08,H1N81_gp08,tonnikala_8,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200724,-
2696452,56133388,H1N81_gp09,H1N81_gp09,tonnikala_9,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2696452,56133389,H1N81_gp10,H1N81_gp10,tonnikala_10,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210313,-
2696452,56133390,H1N81_gp11,H1N81_gp11,tonnikala_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133391,H1N81_gp12,H1N81_gp12,tonnikala_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133392,H1N81_gp13,H1N81_gp13,tonnikala_13,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210313,-
2696452,56133393,H1N81_gp14,H1N81_gp14,tonnikala_14,-,-,-,YdbL,protein-coding,-,-,-,YdbL,20200724,-
2696452,56133394,H1N81_gp15,H1N81_gp15,tonnikala_15,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210313,-
2696452,56133395,H1N81_gp16,H1N81_gp16,tonnikala_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133396,H1N81_gp17,H1N81_gp17,tonnikala_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133397,H1N81_gp18,H1N81_gp18,tonnikala_18,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200724,-
2696452,56133398,H1N81_gp19,H1N81_gp19,tonnikala_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133399,H1N81_gp20,H1N81_gp20,tonnikala_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133400,H1N81_gp21,H1N81_gp21,tonnikala_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133401,H1N81_gp22,H1N81_gp22,tonnikala_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133402,H1N81_gp23,H1N81_gp23,tonnikala_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133403,H1N81_gp24,H1N81_gp24,tonnikala_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133404,H1N81_gp25,H1N81_gp25,tonnikala_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133405,H1N81_gp26,H1N81_gp26,tonnikala_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133406,H1N81_gp27,H1N81_gp27,tonnikala_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133407,H1N81_gp28,H1N81_gp28,tonnikala_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133408,H1N81_gp29,H1N81_gp29,tonnikala_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133409,H1N81_gp30,H1N81_gp30,tonnikala_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696452,56133410,H1N81_gp31,H1N81_gp31,tonnikala_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133411,H1N81_gp32,H1N81_gp32,tonnikala_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133412,H1N81_gp33,H1N81_gp33,tonnikala_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133413,H1N81_gp34,H1N81_gp34,tonnikala_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133414,H1N81_gp35,H1N81_gp35,tonnikala_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133415,H1N81_gp36,H1N81_gp36,tonnikala_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133416,H1N81_gp37,H1N81_gp37,tonnikala_37,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210313,-
2696452,56133417,H1N81_gp38,H1N81_gp38,tonnikala_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133418,H1N81_gp39,H1N81_gp39,tonnikala_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133419,H1N81_gp40,H1N81_gp40,tonnikala_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133420,H1N81_gp41,H1N81_gp41,tonnikala_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696452,56133421,H1N81_gp42,H1N81_gp42,tonnikala_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133422,H1N81_gp43,H1N81_gp43,tonnikala_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133423,H1N81_gp44,H1N81_gp44,tonnikala_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133424,H1N81_gp45,H1N81_gp45,tonnikala_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133425,H1N81_gp46,H1N81_gp46,tonnikala_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133426,H1N81_gp47,H1N81_gp47,tonnikala_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133427,H1N81_gp48,H1N81_gp48,tonnikala_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133428,H1N81_gp49,H1N81_gp49,tonnikala_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133429,H1N81_gp50,H1N81_gp50,tonnikala_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133430,H1N81_gp51,H1N81_gp51,tonnikala_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133431,H1N81_gp52,H1N81_gp52,tonnikala_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133432,H1N81_gp53,H1N81_gp53,tonnikala_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133433,H1N81_gp54,H1N81_gp54,tonnikala_54,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2696452,56133434,H1N81_gp55,H1N81_gp55,tonnikala_55,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2696452,56133435,H1N81_gp56,H1N81_gp56,tonnikala_56,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210313,-
2696452,56133436,H1N81_gp57,H1N81_gp57,tonnikala_57,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210313,-
2696452,56133437,H1N81_gp58,H1N81_gp58,tonnikala_58,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210313,-
2696452,56133438,H1N81_gp59,H1N81_gp59,tonnikala_59,-,-,-,HtjA,protein-coding,-,-,-,HtjA,20200724,-
2696452,56133439,H1N81_gp60,H1N81_gp60,tonnikala_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696452,56133440,H1N81_gp61,H1N81_gp61,tonnikala_61,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
2696452,56133441,H1N81_gp62,H1N81_gp62,tonnikala_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133442,H1N81_gp63,H1N81_gp63,tonnikala_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
