#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235653,16835800,P753_gp02,P753_gp02,PHL111M01_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235653,16835801,P753_gp03,P753_gp03,PHL111M01_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235653,16835802,P753_gp04,P753_gp04,PHL111M01_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835803,P753_gp05,P753_gp05,PHL111M01_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235653,16835804,P753_gp06,P753_gp06,PHL111M01_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235653,16835805,P753_gp07,P753_gp07,PHL111M01_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835806,P753_gp08,P753_gp08,PHL111M01_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835807,P753_gp09,P753_gp09,PHL111M01_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835808,P753_gp10,P753_gp10,PHL111M01_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835809,P753_gp11,P753_gp11,PHL111M01_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235653,16835810,P753_gp12,P753_gp12,PHL111M01_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835811,P753_gp13,P753_gp13,PHL111M01_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835812,P753_gp14,P753_gp14,PHL111M01_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235653,16835813,P753_gp15,P753_gp15,PHL111M01_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235653,16835814,P753_gp16,P753_gp16,PHL111M01_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235653,16835815,P753_gp17,P753_gp17,PHL111M01_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835816,P753_gp18,P753_gp18,PHL111M01_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835817,P753_gp19,P753_gp19,PHL111M01_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235653,16835818,P753_gp20,P753_gp20,PHL111M01_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235653,16835819,P753_gp21,P753_gp21,PHL111M01_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235653,16835820,P753_gp22,P753_gp22,PHL111M01_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835821,P753_gp23,P753_gp23,PHL111M01_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235653,16835822,P753_gp24,P753_gp24,PHL111M01_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835823,P753_gp25,P753_gp25,PHL111M01_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835824,P753_gp26,P753_gp26,PHL111M01_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835825,P753_gp27,P753_gp27,PHL111M01_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835826,P753_gp28,P753_gp28,PHL111M01_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835827,P753_gp29,P753_gp29,PHL111M01_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835828,P753_gp30,P753_gp30,PHL111M01_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235653,16835829,P753_gp31,P753_gp31,PHL111M01_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235653,16835830,P753_gp32,P753_gp32,PHL111M01_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835831,P753_gp33,P753_gp33,PHL111M01_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1235653,16835832,P753_gp34,P753_gp34,PHL111M01_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835833,P753_gp35,P753_gp35,PHL111M01_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835834,P753_gp36,P753_gp36,PHL111M01_36,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235653,16835835,P753_gp37,P753_gp37,PHL111M01_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835836,P753_gp38,P753_gp38,PHL111M01_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835837,P753_gp39,P753_gp39,PHL111M01_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835838,P753_gp40,P753_gp40,PHL111M01_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835839,P753_gp41,P753_gp41,PHL111M01_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835840,P753_gp42,P753_gp42,PHL111M01_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235653,16835841,P753_gp43,P753_gp43,PHL111M01_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
