#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1778585,40141165,FDY24_mgt04,FDY24_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141166,FDY24_mgt07,FDY24_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141167,FDY24_mgt08,FDY24_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141168,ATP6,FDY24_mgp09,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20190601,-
1778585,40141169,COX3,FDY24_mgp08,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,cytochrome c oxidase subunit III,20190601,-
1778585,40141170,FDY24_mgt10,FDY24_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141171,FDY24_mgt11,FDY24_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141172,FDY24_mgt17,FDY24_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141173,ND4L,FDY24_mgp04,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20190601,-
1778585,40141174,FDY24_mgt18,FDY24_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141175,CYTB,FDY24_mgp02,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20190601,-
1778585,40141176,FDY24_mgt20,FDY24_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141177,FDY24_mgt21,FDY24_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141178,FDY24_mgt01,FDY24_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141179,FDY24_mgt02,FDY24_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141180,FDY24_mgt03,FDY24_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141181,ND2,FDY24_mgp13,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20190601,-
1778585,40141182,FDY24_mgt05,FDY24_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141183,FDY24_mgt06,FDY24_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141184,COX1,FDY24_mgp12,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20190601,-
1778585,40141185,COX2,FDY24_mgp11,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20190601,-
1778585,40141186,FDY24_mgt09,FDY24_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141187,ATP8,FDY24_mgp10,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20190601,-
1778585,40141188,ND3,FDY24_mgp07,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20190601,-
1778585,40141189,FDY24_mgt12,FDY24_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141190,FDY24_mgt13,FDY24_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141191,FDY24_mgt14,FDY24_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141192,FDY24_mgt15,FDY24_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141193,FDY24_mgt16,FDY24_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141194,ND5,FDY24_mgp06,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20190601,-
1778585,40141195,ND4,FDY24_mgp05,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20190601,-
1778585,40141196,FDY24_mgt19,FDY24_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141197,ND6,FDY24_mgp03,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20190601,-
1778585,40141198,ND1,FDY24_mgp01,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20190601,-
1778585,40141199,FDY24_mgr02,FDY24_mgr02,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20200910,-
1778585,40141200,FDY24_mgt22,FDY24_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200910,-
1778585,40141201,FDY24_mgr01,FDY24_mgr01,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20200910,-
