#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
559189,6998129,phiCD27_gp02,phiCD27_gp02,-,-,-,-,terminase B,protein-coding,-,-,-,terminase B,20210417,-
559189,6998130,phiCD27_gp03,phiCD27_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
559189,6998131,phiCD27_gp04,phiCD27_gp04,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201220,-
559189,6998132,phiCD27_gp05,phiCD27_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998133,phiCD27_gp06,phiCD27_gp06,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20210403,-
559189,6998134,phiCD27_gp07,phiCD27_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998135,phiCD27_gp08,phiCD27_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998136,phiCD27_gp09,phiCD27_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998137,phiCD27_gp10,phiCD27_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998138,phiCD27_gp11,phiCD27_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998139,phiCD27_gp12,phiCD27_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998140,phiCD27_gp13,phiCD27_gp13,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201220,-
559189,6998141,phiCD27_gp14,phiCD27_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998142,phiCD27_gp15,phiCD27_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998143,phiCD27_gp16,phiCD27_gp16,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
559189,6998144,phiCD27_gp17,phiCD27_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998145,phiCD27_gp18,phiCD27_gp18,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201220,-
559189,6998146,phiCD27_gp19,phiCD27_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998147,phiCD27_gp20,phiCD27_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998148,phiCD27_gp21,phiCD27_gp21,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20201220,-
559189,6998149,phiCD27_gp22,phiCD27_gp22,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20201220,-
559189,6998150,phiCD27_gp23,phiCD27_gp23,-,-,-,-,DUF2313 domain-containing protein,protein-coding,-,-,-,DUF2313 domain-containing protein,20210417,-
559189,6998151,phiCD27_gp24,phiCD27_gp24,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
559189,6998152,phiCD27_gp25,phiCD27_gp25,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
559189,6998153,phiCD27_gp26,phiCD27_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998154,phiCD27_gp27,phiCD27_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998155,phiCD27_gp28,phiCD27_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998156,phiCD27_gp29,phiCD27_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998157,phiCD27_gp30,phiCD27_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998158,phiCD27_gp31,phiCD27_gp31,-,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20210417,-
559189,6998159,phiCD27_gp32,phiCD27_gp32,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20210417,-
559189,6998160,phiCD27_gp33,phiCD27_gp33,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210403,-
559189,6998161,phiCD27_gp34,phiCD27_gp34,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
559189,6998162,phiCD27_gp35,phiCD27_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998163,phiCD27_gp36,phiCD27_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
559189,6998164,phiCD27_gp37,phiCD27_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
559189,6998165,phiCD27_gp38,phiCD27_gp38,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210129,-
559189,6998166,phiCD27_gp39,phiCD27_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998167,phiCD27_gp40,phiCD27_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998168,phiCD27_gp41,phiCD27_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998169,phiCD27_gp42,phiCD27_gp42,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20210424,-
559189,6998170,phiCD27_gp43,phiCD27_gp43,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
559189,6998171,phiCD27_gp44,phiCD27_gp44,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
559189,6998172,phiCD27_gp45,phiCD27_gp45,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
559189,6998173,phiCD27_gp46,phiCD27_gp46,-,-,-,-,putative phage antirepressor,protein-coding,-,-,-,putative phage antirepressor,20201220,-
559189,6998174,phiCD27_gp47,phiCD27_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998175,phiCD27_gp48,phiCD27_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998176,phiCD27_gp49,phiCD27_gp49,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20201220,-
559189,6998177,phiCD27_gp50,phiCD27_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998178,phiCD27_gp51,phiCD27_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998179,phiCD27_gp52,phiCD27_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998180,phiCD27_gp53,phiCD27_gp53,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20201220,-
559189,6998181,phiCD27_gp54,phiCD27_gp54,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201220,-
559189,6998182,phiCD27_gp55,phiCD27_gp55,-,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20201220,-
559189,6998183,phiCD27_gp56,phiCD27_gp56,-,-,-,-,putative resolvase/integrase,protein-coding,-,-,-,putative resolvase/integrase,20201220,-
559189,6998184,phiCD27_gp57,phiCD27_gp57,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201220,-
559189,6998185,phiCD27_gp58,phiCD27_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998186,phiCD27_gp59,phiCD27_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998187,phiCD27_gp60,phiCD27_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998188,phiCD27_gp61,phiCD27_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998189,phiCD27_gp62,phiCD27_gp62,-,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20210417,-
559189,6998190,phiCD27_gp63,phiCD27_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998191,phiCD27_gp64,phiCD27_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998192,phiCD27_gp65,phiCD27_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998193,phiCD27_gp66,phiCD27_gp66,-,-,-,-,peptide chain release factor-like protein,protein-coding,-,-,-,peptide chain release factor-like protein,20210417,-
559189,6998194,phiCD27_gp67,phiCD27_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998195,phiCD27_gp68,phiCD27_gp68,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210403,-
559189,6998196,phiCD27_gp69,phiCD27_gp69,-,-,-,-,ORF6C domain-containing protein,protein-coding,-,-,-,ORF6C domain-containing protein,20210403,-
559189,6998197,phiCD27_gp70,phiCD27_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998198,phiCD27_gp71,phiCD27_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998199,phiCD27_gp72,phiCD27_gp72,-,-,-,-,putative phage DNA-binding protein,protein-coding,-,-,-,putative phage DNA-binding protein,20201220,-
559189,6998200,phiCD27_gp73,phiCD27_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998201,phiCD27_gp74,phiCD27_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
559189,6998202,phiCD27_gp75,phiCD27_gp75,-,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20201220,-
559189,6998203,phiCD27_gp01,phiCD27_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
559189,7009673,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium bacteriophage phiCD27; Clostridium phage phiCD27).,other,-,-,-,-,20200513,-
