#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2555548,55614779,HWC11_gp109,HWC11_gp109,-,-,-,-,ribonucleotide reductase of class Ia (aerobic),protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic),20210424,-
2555548,55614780,HWC11_gp110,HWC11_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614781,HWC11_gp111,HWC11_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614782,HWC11_gp112,HWC11_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614783,HWC11_gp113,HWC11_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614784,HWC11_gp114,HWC11_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614785,HWC11_gp115,HWC11_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614786,HWC11_gp116,HWC11_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614787,HWC11_gp117,HWC11_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614788,HWC11_gp118,HWC11_gp118,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210424,-
2555548,55614789,HWC11_gp119,HWC11_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614790,HWC11_gp120,HWC11_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614791,HWC11_gp121,HWC11_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614792,HWC11_gp122,HWC11_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614793,HWC11_gp123,HWC11_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614794,HWC11_gp124,HWC11_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614795,HWC11_gp125,HWC11_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614796,HWC11_gp126,HWC11_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614797,HWC11_gp127,HWC11_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614798,HWC11_gp128,HWC11_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614799,HWC11_gp129,HWC11_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614800,HWC11_gp130,HWC11_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614801,HWC11_gp131,HWC11_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614802,HWC11_gp132,HWC11_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614803,HWC11_gp133,HWC11_gp133,-,-,-,-,phosphohydrolase,protein-coding,-,-,-,phosphohydrolase,20210424,-
2555548,55614804,HWC11_gp134,HWC11_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614805,HWC11_gp135,HWC11_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614806,HWC11_gp136,HWC11_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614807,HWC11_gp137,HWC11_gp137,-,-,-,-,3'-phosphatase,protein-coding,-,-,-,3'-phosphatase,20210424,-
2555548,55614808,HWC11_gp138,HWC11_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614809,HWC11_gp139,HWC11_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614810,HWC11_gp140,HWC11_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614811,HWC11_gp141,HWC11_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
