#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
265294,3678230,ATVp72,ATVp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678231,ATVp73,ATVp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678232,ATVp74,ATVp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678233,ATVp75,ATVp75,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20201220,-
265294,3678234,ATVp76,ATVp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678235,ATVp77,ATVp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678236,ATVp78,ATVp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678237,ATVp79,ATVp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678238,ATVp80,ATVp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678239,ATVp81,ATVp81,-,-,-,-,D5 family NTPase,protein-coding,-,-,-,D5 family NTPase,20201220,-
265294,3678240,ATVp82,ATVp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678241,ATVp83,ATVp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678242,ATVp84,ATVp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678243,ATVp85,ATVp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678244,ATVp01,ATVp01,-,-,-,-,myristylated membrane protein,protein-coding,-,-,-,myristylated membrane protein,20201220,-
265294,3678245,ATVp02,ATVp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678246,ATVp03,ATVp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678247,ATVp04,ATVp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
265294,3678248,ATVp05,ATVp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
