#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
181082,3654923,EhV423,EhV423,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654924,EhV424,EhV424,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654925,EhV425,EhV425,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654926,EhV426,EhV426,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654927,EhV427,EhV427,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654928,EhV047,EhV047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654929,EhV048,EhV048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654930,EhV049,EhV049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654931,EhV050,EhV050,-,-,-,-,putative serine palmitoyltransferase,protein-coding,-,-,-,putative serine palmitoyltransferase,20200909,-
181082,3654932,EhV051,EhV051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654933,EhV052,EhV052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654934,EhV053,EhV053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654935,EhV054,EhV054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654936,EhV055,EhV055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654937,EhV115,EhV115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654938,EhV116,EhV116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654939,EhV117,EhV117,-,-,-,-,putative phosphate permease,protein-coding,-,-,-,putative phosphate permease,20200909,-
181082,3654940,EhV118,EhV118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654941,EhV119,EhV119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654942,EhV120,EhV120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654943,EhV121,EhV121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654944,EhV122,EhV122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654945,EhV123,EhV123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654946,EhV124,EhV124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654947,EhV125,EhV125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654948,EhV127,EhV127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654949,EhV128,EhV128,-,-,-,-,ERV1/ALR family protein,protein-coding,-,-,-,ERV1/ALR family protein,20200909,-
181082,3654950,EhV129,EhV129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654951,EhV130,EhV130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654952,EhV131,EhV131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654953,EhV132,EhV132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654954,EhV133,EhV133,-,-,-,-,putative ATP-dependent protease proteolytic subunit,protein-coding,-,-,-,putative ATP-dependent protease proteolytic subunit,20200909,-
181082,3654955,EhV134,EhV134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654956,EhV307,EhV307,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654957,EhV308,EhV308,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654958,EhV308A,EhV308A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654959,EhV309,EhV309,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654960,EhV310,EhV310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654961,EhV311,EhV311,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654962,EhV312,EhV312,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654963,EhV313,EhV313,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654964,EhV314,EhV314,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654965,EhV315,EhV315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654966,EhV316,EhV316,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654967,EhV317,EhV317,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654968,EhV318,EhV318,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654969,EhV319,EhV319,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654970,EhV320,EhV320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654971,EhV321,EhV321,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654972,EhV322,EhV322,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654973,EhV323,EhV323,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654974,EhV324,EhV324,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654975,EhV075,EhV075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654976,EhV076,EhV076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654977,EhV077,EhV077,-,-,-,-,putative transmembrane fatty acid elongation protein,protein-coding,-,-,-,putative transmembrane fatty acid elongation protein,20200909,-
181082,3654978,EhV078,EhV078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654979,EhV079,EhV079,-,-,-,-,putative lipid phosphate phosphatase,protein-coding,-,-,-,putative lipid phosphate phosphatase,20200909,-
181082,3654980,EhV080,EhV080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654981,EhV081,EhV081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654982,EhV082,EhV082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654983,EhV083,EhV083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654984,EhV084,EhV084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654985,EhV086,EhV086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654986,EhV087,EhV087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654987,EhV088,EhV088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654988,EhV089,EhV089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654989,EhV090,EhV090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654990,EhV091,EhV091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654991,EhV092,EhV092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654992,EhV093,EhV093,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20200909,-
181082,3654993,EhV094,EhV094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654994,EhV364,EhV364,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654995,EhV365,EhV365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654996,EhV366,EhV366,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654997,EhV367,EhV367,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654998,EhV368,EhV368,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654999,EhV369,EhV369,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655000,EhV370,EhV370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655001,EhV371,EhV371,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655002,EhV372,EhV372,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655003,EhV373,EhV373,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655004,EhV374,EhV374,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655005,EhV375,EhV375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655006,EhV376,EhV376,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655007,EhV377,EhV377,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655008,EhV378,EhV378,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655009,EhV379,EhV379,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655010,EhV380,EhV380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655011,EhV381,EhV381,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655012,EhV382,EhV382,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655013,EhV383,EhV383,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655014,EhV017,EhV017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655015,EhV018,EhV018,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200909,-
181082,3655016,EhV019,EhV019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655017,EhV020,EhV020,-,-,-,-,putative proliferating cell nuclear antigen,protein-coding,-,-,-,putative proliferating cell nuclear antigen,20200909,-
181082,3655018,EhV021,EhV021,-,-,-,-,putative serine protease,protein-coding,-,-,-,putative serine protease,20200909,-
181082,3655019,EhV283,EhV283,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655020,EhV284,EhV284,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655021,EhV285,EhV285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655022,EhV286,EhV286,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655023,EhV442,EhV442,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655024,EhV443,EhV443,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655025,EhV444,EhV444,-,-,-,-,putative DNA topoisomerase,protein-coding,-,-,-,putative DNA topoisomerase,20200909,-
181082,3655026,EhV445,EhV445,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655027,EhV446,EhV446,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655028,EhV447,EhV447,-,-,-,-,putative serine protease,protein-coding,-,-,-,putative serine protease,20200909,-
181082,3655029,EhV448,EhV448,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655030,EhV449,EhV449,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655031,EhV450,EhV450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655032,EhV451,EhV451,-,-,-,-,putative protein kinase,protein-coding,-,-,-,putative protein kinase,20200909,-
181082,3655033,EhV452,EhV452,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655034,EhV453,EhV453,-,-,-,-,putative mRNA capping enzyme,protein-coding,-,-,-,putative mRNA capping enzyme,20200909,-
181082,3655035,EhV454,EhV454,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655036,EhV455,EhV455,-,-,-,-,putative sialidase,protein-coding,-,-,-,putative sialidase,20200909,-
181082,3655037,EhV456,EhV456,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655038,EhV457,EhV457,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655039,EhV458,EhV458,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655040,EhV459,EhV459,-,-,-,-,putative nucleic acid independent nucleoside triphosphatase,protein-coding,-,-,-,putative nucleic acid independent nucleoside triphosphatase,20200909,-
181082,3655041,EhV460,EhV460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655042,EhV250,EhV250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655043,EhV251,EhV251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655044,EhV252,EhV252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655045,EhV253,EhV253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655046,EhV254,EhV254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655047,EhV255,EhV255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655048,EhV256,EhV256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655049,EhV257,EhV257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655050,EhV258,EhV258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655051,EhV259,EhV259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655052,EhV260,EhV260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655053,EhV261,EhV261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655054,EhV262,EhV262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655055,EhV263,EhV263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655056,EhV264,EhV264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655057,EhV265,EhV265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655058,EhV266,EhV266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655059,EhV267,EhV267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655060,EhV268,EhV268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655061,EhV033,EhV033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655062,EhV043,EhV043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655063,EhV035,EhV035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655064,EhV461,EhV461,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655065,EhV462,EhV462,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655066,EhV463,EhV463,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655067,EhV464,EhV464,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655068,EhV465,EhV465,-,-,-,-,putative thioredoxin protein,protein-coding,-,-,-,putative thioredoxin protein,20200909,-
181082,3655069,EhV466,EhV466,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655070,EhV276,EhV276,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655071,EhV277,EhV277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655072,EhV042,EhV042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655073,EhV036,EhV036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655074,EhV037,EhV037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655075,EhV038,EhV038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655076,EhV039,EhV039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655077,EhV040,EhV040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655078,EhV041,EhV041,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200909,-
181082,3655079,EhV109,EhV109,-,-,-,-,OTU-like cysteine protease,protein-coding,-,-,-,OTU-like cysteine protease,20200909,-
181082,3655080,EhV110,EhV110,-,-,-,-,putative RING finger protein,protein-coding,-,-,-,putative RING finger protein,20200909,-
181082,3655081,EhV111,EhV111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655082,EhV112,EhV112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655083,EhV113,EhV113,-,-,-,-,bifunctional dihydrofolate reductase-thymidylate synthase,protein-coding,-,-,-,bifunctional dihydrofolate reductase-thymidylate synthase,20200909,-
181082,3655084,EhV114,EhV114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655085,EhV135,EhV135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655086,EhV136,EhV136,-,-,-,-,putative nucleic acid-binding protein,protein-coding,-,-,-,putative nucleic acid-binding protein,20200909,-
181082,3655087,EhV137,EhV137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655088,EhV138,EhV138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655089,EhV139,EhV139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655090,EhV140,EhV140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655091,EhV141,EhV141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655092,EhV142,EhV142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655093,EhV143,EhV143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655094,EhV144,EhV144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655095,EhV145,EhV145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655096,EhV146,EhV146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655097,EhV147,EhV147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655098,EhV148,EhV148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655099,EhV149,EhV149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3655100,EhV150,EhV150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3760120,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Emiliana huxleyi virus 86).,other,-,-,-,-,20200513,-
181082,5123605,EhV364A,EhV364A,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200909,-
