#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
181082,3654747,EhV297,EhV297,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654748,EhV298,EhV298,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654749,EhV299,EhV299,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654750,EhV300,EhV300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654751,EhV301,EhV301,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654752,EhV302,EhV302,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654753,EhV303,EhV303,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654754,EhV304,EhV304,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654755,EhV305,EhV305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654756,EhV306,EhV306,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654757,EhV211,EhV211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654758,EhV212,EhV212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654759,EhV213,EhV213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654760,EhV214,EhV214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654761,EhV215,EhV215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654762,EhV216,EhV216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654763,EhV217,EhV217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654764,EhV218,EhV218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654765,EhV219,EhV219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654766,EhV220,EhV220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654767,EhV221,EhV221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654768,EhV222,EhV222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654769,EhV223,EhV223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654770,EhV224,EhV224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654771,EhV225,EhV225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654772,EhV226,EhV226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654773,EhV227,EhV227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654774,EhV228,EhV228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654775,EhV229,EhV229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654776,EhV230,EhV230,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200909,-
181082,3654777,EhV345,EhV345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654778,EhV346,EhV346,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654779,EhV347,EhV347,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654780,EhV348,EhV348,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654781,EhV349,EhV349,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20200909,-
181082,3654782,EhV350,EhV350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654783,EhV351,EhV351,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654784,EhV352,EhV352,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654785,EhV353,EhV353,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654786,EhV354,EhV354,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654787,EhV355,EhV355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654788,EhV356,EhV356,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654789,EhV357,EhV357,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654790,EhV358,EhV358,-,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200909,-
181082,3654791,EhV359,EhV359,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654792,EhV360,EhV360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654793,EhV361,EhV361,-,-,-,-,putative serine protease,protein-coding,-,-,-,putative serine protease,20200909,-
181082,3654794,EhV362,EhV362,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654795,EhV363,EhV363,-,-,-,-,putative esterase,protein-coding,-,-,-,putative esterase,20200909,-
181082,3654796,EhV325,EhV325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654797,EhV326,EhV326,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654798,EhV327,EhV327,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654799,EhV328,EhV328,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654800,EhV329,EhV329,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654801,EhV330,EhV330,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654802,EhV331,EhV331,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654803,EhV332,EhV332,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654804,EhV333,EhV333,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654805,EhV275,EhV275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654806,EhV044,EhV044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654807,EhV045,EhV045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654808,EhV046,EhV046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654809,EhV247,EhV247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654810,EhV248,EhV248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654811,EhV249,EhV249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654812,EhV174,EhV174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654813,EhV175,EhV175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654814,EhV176,EhV176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654815,EhV177,EhV177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654816,EhV178,EhV178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654817,EhV179,EhV179,-,-,-,-,Major Facilitator Superfamily protein,protein-coding,-,-,-,Major Facilitator Superfamily protein,20200909,-
181082,3654818,EhV180,EhV180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654819,EhV181,EhV181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654820,EhV182,EhV182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654821,EhV183,EhV183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654822,EhV184,EhV184,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200909,-
181082,3654823,EhV185,EhV185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654824,EhV185A,EhV185A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654825,EhV186,EhV186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654826,EhV187,EhV187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654827,EhV188,EhV188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654828,EhV189,EhV189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654829,EhV190,EhV190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654830,EhV191,EhV191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654831,EhV192,EhV192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654832,EhV269A,EhV269A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654833,EhV270,EhV270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654834,EhV271,EhV271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654835,EhV272,EhV272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654836,EhV272A,EhV272A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654837,EhV273,EhV273,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654838,EhV274,EhV274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654839,EhV428,EhV428,-,-,-,-,putative ribonucleoside-diphosphate reductase protein,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase protein,20200909,-
181082,3654840,EhV429,EhV429,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654841,EhV430,EhV430,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200909,-
181082,3654842,EhV431,EhV431,-,-,-,-,putative thymidylate kinase,protein-coding,-,-,-,putative thymidylate kinase,20200909,-
181082,3654843,EhV432,EhV432,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654844,EhV433,EhV433,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654845,EhV434,EhV434,-,-,-,-,putative DNA-directed RNA polymerase II subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase II subunit,20200909,-
181082,3654846,EhV435,EhV435,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654847,EhV436,EhV436,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654848,EhV437,EhV437,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654849,EhV438,EhV438,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654850,EhV439,EhV439,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654851,EhV440,EhV440,-,-,-,-,putative proliferating cell nuclear antigen,protein-coding,-,-,-,putative proliferating cell nuclear antigen,20200909,-
181082,3654852,EhV441,EhV441,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654853,EhV022,EhV022,-,-,-,-,phosphoglycerate mutase family protein,protein-coding,-,-,-,phosphoglycerate mutase family protein,20200909,-
181082,3654854,EhV023,EhV023,-,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20200909,-
181082,3654855,EhV026,EhV026,-,-,-,-,ribonucleoside-diphosphate reductase small chain,protein-coding,-,-,-,ribonucleoside-diphosphate reductase small chain,20200909,-
181082,3654856,EhV027,EhV027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654857,EhV028,EhV028,-,-,-,-,putative lipase,protein-coding,-,-,-,putative lipase,20200909,-
181082,3654858,EhV029,EhV029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654859,EhV030,EhV030,-,-,-,-,putative DNA polymerase delta catalytic subunit,protein-coding,-,-,-,putative DNA polymerase delta catalytic subunit,20200909,-
181082,3654860,EhV024,EhV024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654861,EhV025,EhV025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654862,EhV031,EhV031,-,-,-,-,putative sterol desaturase,protein-coding,-,-,-,putative sterol desaturase,20200909,-
181082,3654863,EhV032,EhV032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654864,EhV034,EhV034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654865,EhV467,EhV467,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654866,EhV468,EhV468,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654867,tRNA-Arg (TCT),EhV_gt05,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
181082,3654868,tRNA-Asn (GTT),EhV_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
181082,3654869,EhV334,EhV334,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654870,EhV335,EhV335,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654871,EhV103,EhV103,-,-,-,-,putative vesicle-associated membrane protein,protein-coding,-,-,-,putative vesicle-associated membrane protein,20200909,-
181082,3654872,EhV104,EhV104,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200909,-
181082,3654873,EhV105,EhV105,-,-,-,-,transcription factor S-II (TFIIS) family protein,protein-coding,-,-,-,transcription factor S-II (TFIIS) family protein,20200909,-
181082,3654874,EhV106,EhV106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654875,EhV107,EhV107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654876,EhV108,EhV108,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200909,-
181082,3654877,EhV151,EhV151,-,-,-,-,putative serine protease,protein-coding,-,-,-,putative serine protease,20200909,-
181082,3654878,EhV152,EhV152,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200909,-
181082,3654879,EhV153,EhV153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654880,EhV154,EhV154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654881,EhV231,EhV231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654882,EhV232,EhV232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654883,EhV233,EhV233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654884,EhV234,EhV234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654885,EhV235,EhV235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654886,EhV236,EhV236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654887,EhV237,EhV237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654888,EhV238,EhV238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654889,EhV239,EhV239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654890,EhV240,EhV240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654891,EhV241,EhV241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654892,EhV242,EhV242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654893,EhV243,EhV243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654894,EhV244,EhV244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654895,EhV245,EhV245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
