#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391428,17776252,X824_gp002,X824_gp002,ST4MG_002,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1391428,17776253,X824_gp003,X824_gp003,ST4MG_003,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200910,-
1391428,17776254,X824_gp004,X824_gp004,ST4MG_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776255,X824_gp005,X824_gp005,ST4MG_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776256,X824_gp006,X824_gp006,ST4MG_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776257,X824_gp007,X824_gp007,ST4MG_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776258,X824_gp008,X824_gp008,ST4MG_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776259,X824_gp009,X824_gp009,ST4MG_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776260,X824_gp010,X824_gp010,ST4MG_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776261,X824_gp011,X824_gp011,ST4MG_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776262,X824_gp012,X824_gp012,ST4MG_012,-,-,-,DNA replicative helicase/primase,protein-coding,-,-,-,DNA replicative helicase/primase,20200910,-
1391428,17776263,X824_gp013,X824_gp013,ST4MG_013,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1391428,17776264,X824_gp014,X824_gp014,ST4MG_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776265,X824_gp015,X824_gp015,ST4MG_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776266,X824_gp016,X824_gp016,ST4MG_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776267,X824_gp017,X824_gp017,ST4MG_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776268,X824_gp018,X824_gp018,ST4MG_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776269,X824_gp019,X824_gp019,ST4MG_019,-,-,-,putative nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,putative nicotinamide-nucleotide adenylyltransferase,20200910,-
1391428,17776270,X824_gp020,X824_gp020,ST4MG_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776271,X824_gp021,X824_gp021,ST4MG_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776272,X824_gp022,X824_gp022,ST4MG_022,-,-,-,NrdA.1-like protein,protein-coding,-,-,-,NrdA.1-like protein,20200910,-
1391428,17776273,X824_gp023,X824_gp023,ST4MG_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776274,X824_gp024,X824_gp024,ST4MG_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776275,X824_gp025,X824_gp025,ST4MG_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
