#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041518,60336607,I5J47_gp02,I5J47_gp02,SEA_ARIB1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2041518,60336608,I5J47_gp03,I5J47_gp03,SEA_ARIB1_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2041518,60336609,I5J47_gp04,I5J47_gp04,SEA_ARIB1_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2041518,60336610,I5J47_gp05,I5J47_gp05,SEA_ARIB1_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2041518,60336611,I5J47_gp06,I5J47_gp06,SEA_ARIB1_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2041518,60336612,I5J47_gp07,I5J47_gp07,SEA_ARIB1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336613,I5J47_gp08,I5J47_gp08,SEA_ARIB1_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2041518,60336614,I5J47_gp09,I5J47_gp09,SEA_ARIB1_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2041518,60336615,I5J47_gp10,I5J47_gp10,SEA_ARIB1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041518,60336616,I5J47_gp11,I5J47_gp11,SEA_ARIB1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336617,I5J47_gp12,I5J47_gp12,SEA_ARIB1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336618,I5J47_gp13,I5J47_gp13,SEA_ARIB1_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2041518,60336619,I5J47_gp14,I5J47_gp14,SEA_ARIB1_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2041518,60336620,I5J47_gp15,I5J47_gp15,SEA_ARIB1_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2041518,60336621,I5J47_gp17,I5J47_gp17,SEA_ARIB1_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2041518,60336622,I5J47_gp16,I5J47_gp16,SEA_ARIB1_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2041518,60336623,I5J47_gp18,I5J47_gp18,SEA_ARIB1_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2041518,60336624,I5J47_gp19,I5J47_gp19,SEA_ARIB1_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2041518,60336625,I5J47_gp20,I5J47_gp20,SEA_ARIB1_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2041518,60336626,I5J47_gp21,I5J47_gp21,SEA_ARIB1_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2041518,60336627,I5J47_gp22,I5J47_gp22,SEA_ARIB1_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2041518,60336628,I5J47_gp23,I5J47_gp23,SEA_ARIB1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336629,I5J47_gp24,I5J47_gp24,SEA_ARIB1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336630,I5J47_gp25,I5J47_gp25,SEA_ARIB1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
