#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1064539,13161040,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210426,-
1064539,39502663,Sp245p_RS27995,Sp245p_RS27995,Sp245p_28355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502707,Sp245p_RS30410,Sp245p_RS30410,Sp245p_30880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502721,Sp245p_RS26770,Sp245p_RS26770,Sp245p_27100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502735,Sp245p_RS30265,Sp245p_RS30265,Sp245p_30735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39502746,Sp245p_RS30610,Sp245p_RS30610,Sp245p_31080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502755,Sp245p_RS30600,Sp245p_RS30600,Sp245p_31070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502758,Sp245p_RS30015,Sp245p_RS30015,Sp245p_30470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502760,Sp245p_RS27540,Sp245p_RS27540,Sp245p_27870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502788,Sp245p_RS29220,Sp245p_RS29220,Sp245p_29635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502800,Sp245p_RS27325,Sp245p_RS27325,Sp245p_27660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39502821,Sp245p_RS28560,Sp245p_RS28560,Sp245p_28955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39502834,Sp245p_RS30160,Sp245p_RS30160,Sp245p_30620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502835,Sp245p_RS29280,Sp245p_RS29280,Sp245p_29695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502839,Sp245p_RS30605,Sp245p_RS30605,Sp245p_31075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502840,Sp245p_RS26895,Sp245p_RS26895,Sp245p_27230,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39502858,Sp245p_RS30585,Sp245p_RS30585,Sp245p_31055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502868,Sp245p_RS27815,Sp245p_RS27815,Sp245p_28155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
