#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
418784,36565653,C7M61_002264,C7M61_002264,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565654,C7M61_002265,C7M61_002265,-,-,Unknown,-,V-type proton ATPase subunit F,protein-coding,-,-,-,V-type proton ATPase subunit F,20200919,-
418784,36565655,C7M61_002266,C7M61_002266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565656,C7M61_002267,C7M61_002267,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565657,C7M61_002268,C7M61_002268,-,-,Unknown,-,4-aminobutyrate aminotransferase,protein-coding,-,-,-,4-aminobutyrate aminotransferase,20200919,-
418784,36565658,C7M61_002269,C7M61_002269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565659,C7M61_002270,C7M61_002270,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565660,C7M61_002271,C7M61_002271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565661,C7M61_002272,C7M61_002272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565662,C7M61_002273,C7M61_002273,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565663,C7M61_002274,C7M61_002274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565664,C7M61_002275,C7M61_002275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565665,C7M61_002276,C7M61_002276,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565666,C7M61_002277,C7M61_002277,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565667,C7M61_002278,C7M61_002278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565668,C7M61_002279,C7M61_002279,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565669,C7M61_002280,C7M61_002280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565670,C7M61_002281,C7M61_002281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565671,C7M61_002282,C7M61_002282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565672,C7M61_002283,C7M61_002283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565673,C7M61_002284,C7M61_002284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565674,C7M61_002285,C7M61_002285,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565675,C7M61_002286,C7M61_002286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565676,C7M61_002287,C7M61_002287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565677,C7M61_002288,C7M61_002288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565678,C7M61_002289,C7M61_002289,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565679,C7M61_002290,C7M61_002290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565680,C7M61_002291,C7M61_002291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565681,C7M61_002292,C7M61_002292,-,-,Unknown,-,Sua5/YciO/YrdC/YwlC family tRNA threonylcarbamoyl adenosine modification protein,protein-coding,-,-,-,Sua5/YciO/YrdC/YwlC family tRNA threonylcarbamoyl adenosine modification protein,20200919,-
418784,36565682,C7M61_002293,C7M61_002293,-,-,Unknown,-,"calcium-transporting P-type ATPase, PMR1-type",protein-coding,-,-,-,"calcium-transporting P-type ATPase, PMR1-type",20200919,-
418784,36565683,C7M61_002294,C7M61_002294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565684,C7M61_002295,C7M61_002295,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565685,C7M61_002296,C7M61_002296,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565686,C7M61_002297,C7M61_002297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565687,C7M61_002298,C7M61_002298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565688,C7M61_002299,C7M61_002299,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565689,C7M61_002300,C7M61_002300,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565690,C7M61_002301,C7M61_002301,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565691,C7M61_002302,C7M61_002302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565692,C7M61_002303,C7M61_002303,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
