#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
813,2827981,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Chlamydozoon trachomatis; Rickettsia trachomae; Rickettsia trachomatis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210313,-
813,35548419,KW42_RS01170,KW42_RS01170,O170_01200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548420,KW42_RS01165,KW42_RS01165,O170_01195,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548438,KW42_RS02485,KW42_RS02485,O170_02550,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548465,KW42_RS03650,KW42_RS03650,O170_03730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548478,KW42_RS02525,KW42_RS02525,O170_02590,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548492,KW42_RS01895,KW42_RS01895,O170_01945,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548500,KW42_RS02505,KW42_RS02505,O170_02570,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548605,KW42_RS01085,KW42_RS01085,O170_01115,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548641,KW42_RS03635,KW42_RS03635,O170_03715,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548657,KW42_RS03245,KW42_RS03245,O170_03295,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548662,KW42_RS01090,KW42_RS01090,O170_01120,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548667,KW42_RS02710,KW42_RS02710,O170_02785,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548730,KW42_RS02235,KW42_RS02235,O170_02290,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548734,KW42_RS04515,KW42_RS04515,O170_04635,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548747,KW42_RS01690,KW42_RS01690,O170_01735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548765,KW42_RS00735,KW42_RS00735,O170_00770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548785,KW42_RS04345,KW42_RS04345,O170_04455,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548836,KW42_RS03535,KW42_RS03535,O170_03610,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548860,KW42_RS03820,KW42_RS03820,O170_03915,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548861,KW42_RS02665,KW42_RS02665,O170_02740,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548892,KW42_RS03430,KW42_RS03430,O170_03495,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548974,KW42_RS00315,KW42_RS00315,O170_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35548975,KW42_RS00195,KW42_RS00195,O170_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549020,KW42_RS03680,KW42_RS03680,O170_03760,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549029,KW42_RS04115,KW42_RS04115,O170_04220,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549036,KW42_RS03655,KW42_RS03655,O170_03735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549044,KW42_RS04555,KW42_RS04555,O170_04680,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549111,KW42_RS00945,KW42_RS00945,O170_00975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549120,KW42_RS03400,KW42_RS03400,O170_03460,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549146,KW42_RS00940,KW42_RS00940,O170_00970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549153,KW42_RS04710,KW42_RS04710,O170_04825,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549204,KW42_RS00730,KW42_RS00730,O170_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549239,KW42_RS02200,KW42_RS02200,O170_02255,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549246,KW42_RS01680,KW42_RS01680,O170_01725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549264,KW42_RS03990,KW42_RS03990,O170_04090,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549269,KW42_RS02890,KW42_RS02890,O170_02965,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549333,KW42_RS01730,KW42_RS01730,O170_01775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549378,KW34_RS02900,KW34_RS02900,O175_02975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549402,KW34_RS01090,KW34_RS01090,O175_01115,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549403,KW34_RS01095,KW34_RS01095,O175_01120,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549508,KW34_RS03635,KW34_RS03635,O175_03730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549553,KW34_RS04345,KW34_RS04345,O175_04465,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549555,KW34_RS04555,KW34_RS04555,O175_04705,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549571,KW34_RS04115,KW34_RS04115,O175_04230,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549605,KW34_RS01170,KW34_RS01170,O175_01195,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549661,KW34_RS01905,KW34_RS01905,O175_01945,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549732,KW34_RS02535,KW34_RS02535,O175_02595,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549772,KW34_RS02245,KW34_RS02245,O175_02290,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549809,KW34_RS01695,KW34_RS01695,O175_01730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549813,KW34_RS04710,KW34_RS04710,O175_04850,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549844,KW34_RS03405,KW34_RS03405,O175_03475,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549861,KW34_RS02675,KW34_RS02675,O175_02745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549911,KW34_RS03990,KW34_RS03990,O175_04100,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549914,KW34_RS00735,KW34_RS00735,O175_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549917,KW34_RS01685,KW34_RS01685,O175_01720,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
