#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
40214,25026268,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Acinetobacter genomosp. 7; Acinetobacter genomospecies 7.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20150722,-
40214,39661587,CFH90_RS18130,CFH90_RS18130,CFH90_18065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661592,CFH90_RS18035,CFH90_RS18035,CFH90_17970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661593,CFH90_RS17955,CFH90_RS17955,CFH90_17890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661594,CFH90_RS18040,CFH90_RS18040,CFH90_17975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661610,CFH90_RS17990,CFH90_RS17990,CFH90_17925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661612,CFH90_RS17770,CFH90_RS17770,CFH90_17715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661614,CFH90_RS18070,CFH90_RS18070,CFH90_18005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661615,CFH90_RS18045,CFH90_RS18045,CFH90_17980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661617,CFH90_RS18140,CFH90_RS18140,CFH90_18075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661619,CFH90_RS17780,CFH90_RS17780,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661620,CFH90_RS18125,CFH90_RS18125,CFH90_18060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
40214,39661621,CFH90_RS17810,CFH90_RS17810,CFH90_17745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661631,CFH90_RS18205,CFH90_RS18205,CFH90_18140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661649,CFH90_RS17795,CFH90_RS17795,CFH90_17735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661655,CFH90_RS17790,CFH90_RS17790,CFH90_17730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661659,CFH90_RS18055,CFH90_RS18055,CFH90_17990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661666,CFH90_RS18185,CFH90_RS18185,CFH90_18120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661683,CFH90_RS18325,CFH90_RS18325,CFH90_18260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661698,CFH90_RS18380,CFH90_RS18380,CFH90_18315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661703,CFH90_RS18270,CFH90_RS18270,CFH90_18205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661705,CFH90_RS18305,CFH90_RS18305,CFH90_18240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661706,CFH90_RS18360,CFH90_RS18360,CFH90_18295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661709,CFH90_RS18345,CFH90_RS18345,CFH90_18280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661712,CFH90_RS18415,CFH90_RS18415,CFH90_18350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661713,CFH90_RS18410,CFH90_RS18410,CFH90_18345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
40214,39661714,CFH90_RS18405,CFH90_RS18405,CFH90_18340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
40214,39661715,CFH90_RS18400,CFH90_RS18400,CFH90_18335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
40214,39661719,CFH90_RS18440,CFH90_RS18440,CFH90_18375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
