#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
39838,55803211,HYO72_gp02,HYO72_gp02,936_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
39838,55803212,HYO72_gp03,HYO72_gp03,936_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201217,-
39838,55803213,HYO72_gp04,HYO72_gp04,936_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210417,-
39838,55803214,HYO72_gp05,HYO72_gp05,936_005,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20210417,-
39838,55803215,HYO72_gp06,HYO72_gp06,936_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803216,HYO72_gp07,HYO72_gp07,936_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803217,HYO72_gp08,HYO72_gp08,936_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803218,HYO72_gp09,HYO72_gp09,936_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803219,HYO72_gp10,HYO72_gp10,936_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803220,HYO72_gp11,HYO72_gp11,936_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803221,HYO72_gp12,HYO72_gp12,936_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803222,HYO72_gp13,HYO72_gp13,936_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803223,HYO72_gp14,HYO72_gp14,936_0014,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20210417,-
39838,55803224,HYO72_gp15,HYO72_gp15,936_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803225,HYO72_gp16,HYO72_gp16,936_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803226,HYO72_gp17,HYO72_gp17,936_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803227,HYO72_gp18,HYO72_gp18,936_0018,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20210417,-
39838,55803228,HYO72_gp19,HYO72_gp19,936_0019,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200704,-
39838,55803229,HYO72_gp20,HYO72_gp20,936_0020,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210417,-
39838,55803230,HYO72_gp21,HYO72_gp21,936_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803231,HYO72_gp22,HYO72_gp22,936_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803232,HYO72_gp23,HYO72_gp23,936_0023,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
39838,55803233,HYO72_gp24,HYO72_gp24,936_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803234,HYO72_gp25,HYO72_gp25,936_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803235,HYO72_gp26,HYO72_gp26,936_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803236,HYO72_gp27,HYO72_gp27,936_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803237,HYO72_gp28,HYO72_gp28,936_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803238,HYO72_gp29,HYO72_gp29,936_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803239,HYO72_gp30,HYO72_gp30,936_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803240,HYO72_gp31,HYO72_gp31,936_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803241,HYO72_gp32,HYO72_gp32,936_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803242,HYO72_gp33,HYO72_gp33,936_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803243,HYO72_gp34,HYO72_gp34,936_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803244,HYO72_gp35,HYO72_gp35,936_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803245,HYO72_gp36,HYO72_gp36,936_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803246,HYO72_gp37,HYO72_gp37,936_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803247,HYO72_gp38,HYO72_gp38,936_0038,-,-,-,putative sak protein,protein-coding,-,-,-,putative sak protein,20210417,-
39838,55803248,HYO72_gp39,HYO72_gp39,936_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803249,HYO72_gp40,HYO72_gp40,936_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803250,HYO72_gp41,HYO72_gp41,936_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803251,HYO72_gp42,HYO72_gp42,936_0042,-,-,-,DNA polymerase subunit,protein-coding,-,-,-,DNA polymerase subunit,20210417,-
39838,55803252,HYO72_gp43,HYO72_gp43,936_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803253,HYO72_gp44,HYO72_gp44,936_0044,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
39838,55803254,HYO72_gp45,HYO72_gp45,936_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803255,HYO72_gp46,HYO72_gp46,936_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803256,HYO72_gp47,HYO72_gp47,936_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
39838,55803257,HYO72_gp48,HYO72_gp48,936_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803258,HYO72_gp49,HYO72_gp49,936_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
39838,55803259,HYO72_gp01,HYO72_gp01,936_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201217,-
39838,55863297,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis bacteriophage 936; Lactococcus lactis phage 936).,other,-,-,-,-,20200706,-
