#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582152,26737295,PHICD211_20002,PHICD211_20002,-,-,-,-,Terminase,protein-coding,-,-,-,Terminase,20200629,-
1582152,26737296,PHICD211_20003,PHICD211_20003,-,-,-,-,Putative structural protein,protein-coding,-,-,-,Putative structural protein,20210417,-
1582152,26737297,PHICD211_20004,PHICD211_20004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737298,PHICD211_20005,PHICD211_20005,-,-,-,-,Putative structural protein,protein-coding,-,-,-,Putative structural protein,20200905,-
1582152,26737299,PHICD211_20006,PHICD211_20006,-,-,-,-,Putative structural protein,protein-coding,-,-,-,Putative structural protein,20200629,-
1582152,26737300,PHICD211_20007,PHICD211_20007,-,-,-,-,Putative structural protein,protein-coding,-,-,-,Putative structural protein,20200629,-
1582152,26737301,PHICD211_20008,PHICD211_20008,-,-,-,-,"Putative AcrB/AcrD/AcrF family protein, multidrug resistance",protein-coding,-,-,-,"Putative AcrB/AcrD/AcrF family protein, multidrug resistance",20200629,-
1582152,26737302,PHICD211_20009,PHICD211_20009,-,-,-,-,Putative structural protein,protein-coding,-,-,-,Putative structural protein,20200629,-
1582152,26737303,PHICD211_20010,PHICD211_20010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737304,PHICD211_20011,PHICD211_20011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737305,PHICD211_20012,PHICD211_20012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737306,PHICD211_20013,PHICD211_20013,-,-,-,-,Putative structural protein,protein-coding,-,-,-,Putative structural protein,20200629,-
