#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034128,26642569,2,ALICE_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642570,3,ALICE_3,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200909,-
1034128,26642571,4,ALICE_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642572,6,ALICE_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642573,7,ALICE_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642574,8,ALICE_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642575,9,ALICE_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642576,10,ALICE_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642577,11,ALICE_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642578,13,ALICE_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642579,14,ALICE_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642580,15,ALICE_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642581,16,ALICE_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642582,17,ALICE_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642583,18,ALICE_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642584,19,ALICE_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642585,20,ALICE_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642586,21,ALICE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642587,22,ALICE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642588,23,ALICE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642589,24,ALICE_24,-,-,-,-,band 7 protein,protein-coding,-,-,-,band 7 protein,20200912,-
1034128,26642590,25,ALICE_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642591,26,ALICE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642592,27,ALICE_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642593,28,ALICE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642594,29,ALICE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642595,30,ALICE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642596,31,ALICE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642597,32,ALICE_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642598,33,ALICE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642599,34,ALICE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642600,35,ALICE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642601,36,ALICE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642602,37,ALICE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642603,38,ALICE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642604,39,ALICE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642605,40,ALICE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642606,41,ALICE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642607,42,ALICE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642608,45,ALICE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642609,46,ALICE_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642610,47,ALICE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642611,48,ALICE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642612,49,ALICE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642613,50,ALICE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642614,51,ALICE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642615,52,ALICE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642616,53,ALICE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642617,54,ALICE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642618,55,ALICE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642619,56,ALICE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642620,57,ALICE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1034128,26642621,58,ALICE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642622,59,ALICE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642623,60,ALICE_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642624,62,ALICE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642625,63,ALICE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642626,64,ALICE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642627,65,ALICE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642628,66,ALICE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642629,67,ALICE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642630,68,ALICE_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642631,70,ALICE_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642632,71,ALICE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642633,72,ALICE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642634,73,ALICE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642635,74,ALICE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642636,75,ALICE_75,-,-,-,-,ParB-like protein,protein-coding,-,-,-,ParB-like protein,20200909,-
1034128,26642637,76,ALICE_76,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642638,77,ALICE_77,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642639,79,ALICE_79,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642640,80,ALICE_80,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642641,81,ALICE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642642,82,ALICE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642643,83,ALICE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642644,84,ALICE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642645,85,ALICE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642646,86,ALICE_86,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20200909,-
1034128,26642647,87,ALICE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642648,88,ALICE_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1034128,26642649,89,ALICE_89,-,-,-,-,LysM domain,protein-coding,-,-,-,LysM domain,20200909,-
1034128,26642650,90,ALICE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642651,91,ALICE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642652,92,ALICE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642653,93,ALICE_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642654,94,ALICE_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642655,95,ALICE_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642656,96,ALICE_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642657,97,ALICE_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642658,98,ALICE_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642659,99,ALICE_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642660,100,ALICE_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642661,101,ALICE_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642662,102,ALICE_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642663,103,ALICE_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642664,104,ALICE_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642665,105,ALICE_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642666,106,ALICE_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642667,107,ALICE_107,-,-,-,-,"putative head decoration, structural",protein-coding,-,-,-,"putative head decoration, structural",20200909,-
1034128,26642668,108,ALICE_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642669,109,ALICE_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642670,110,ALICE_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642671,111,ALICE_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642672,112,ALICE_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642673,113,ALICE_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642674,114,ALICE_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642675,115,ALICE_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034128,26642676,116,ALICE_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642677,117,ALICE_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642678,118,ALICE_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642679,119,ALICE_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642680,120,ALICE_120,-,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20200909,-
1034128,26642681,121,ALICE_121,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1034128,26642682,122,ALICE_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642683,124,ALICE_124,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1034128,26642684,125,ALICE_125,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200909,-
1034128,26642685,123,ALICE_123,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1034128,26642686,126,ALICE_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642687,127,ALICE_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642688,128,ALICE_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642689,129,ALICE_129,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210417,-
1034128,26642690,130,ALICE_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642691,131,ALICE_131,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20200909,-
1034128,26642692,132,ALICE_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642693,133,ALICE_133,-,-,-,-,putative baseplate J-like protein,protein-coding,-,-,-,putative baseplate J-like protein,20210417,-
1034128,26642694,134,ALICE_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642695,135,ALICE_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642696,136,ALICE_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642697,137,ALICE_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642698,138,ALICE_138,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20200909,-
1034128,26642699,139,ALICE_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642700,142,ALICE_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642701,143,ALICE_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642702,144,ALICE_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642703,145,ALICE_145,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642704,146,ALICE_146,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642705,147,ALICE_147,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642706,148,ALICE_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642707,149,ALICE_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1034128,26642708,150,ALICE_150,-,-,-,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20200912,-
1034128,26642709,151,ALICE_151,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642710,152,ALICE_152,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642711,153,ALICE_153,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642712,154,ALICE_154,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642713,155,ALICE_155,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642714,156,ALICE_156,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642715,157,ALICE_157,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642716,158,ALICE_158,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034128,26642717,159,ALICE_159,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20200909,-
