#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
149385,25026624,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella hadar).,other,-,-,-,-,20190422,-
149385,39754277,CVJ63_RS22835,CVJ63_RS22835,CVJ63_22835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754282,CVJ63_RS22825,CVJ63_RS22825,CVJ63_22825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754283,CVJ63_RS22730,CVJ63_RS22730,CVJ63_22730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754284,CVJ63_RS22840,CVJ63_RS22840,CVJ63_22840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754286,CVJ63_RS22870,CVJ63_RS22870,CVJ63_22870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754291,CVJ63_RS22805,CVJ63_RS22805,CVJ63_22805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754297,CVJ63_RS22850,CVJ63_RS22850,CVJ63_22850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754300,CVJ63_RS22815,CVJ63_RS22815,CVJ63_22815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754302,CVJ63_RS22865,CVJ63_RS22865,CVJ63_22865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754311,CVJ63_RS23010,CVJ63_RS23010,CVJ63_23010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
