#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
111874,7871782,NeseNPV_gp64,NeseNPV_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871783,NeseNPV_gp70,NeseNPV_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871784,NeseNPV_gp71,NeseNPV_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871785,NeseNPV_gp72,NeseNPV_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871786,NeseNPV_gp73,NeseNPV_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871787,NeseNPV_gp74,NeseNPV_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871788,NeseNPV_gp75,NeseNPV_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871789,NeseNPV_gp76,NeseNPV_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871790,NeseNPV_gp77,NeseNPV_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871791,NeseNPV_gp78,NeseNPV_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871792,NeseNPV_gp83,NeseNPV_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871793,NeseNPV_gp87,NeseNPV_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871794,NeseNPV_gp88,NeseNPV_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
