#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235655,16835755,P749_gp02,P749_gp02,PHL113M01_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235655,16835756,P749_gp03,P749_gp03,PHL113M01_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235655,16835757,P749_gp04,P749_gp04,PHL113M01_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835758,P749_gp05,P749_gp05,PHL113M01_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235655,16835759,P749_gp06,P749_gp06,PHL113M01_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235655,16835760,P749_gp07,P749_gp07,PHL113M01_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835761,P749_gp08,P749_gp08,PHL113M01_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835762,P749_gp09,P749_gp09,PHL113M01_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835763,P749_gp10,P749_gp10,PHL113M01_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835764,P749_gp11,P749_gp11,PHL113M01_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235655,16835765,P749_gp12,P749_gp12,PHL113M01_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835766,P749_gp13,P749_gp13,PHL113M01_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835767,P749_gp14,P749_gp14,PHL113M01_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235655,16835768,P749_gp15,P749_gp15,PHL113M01_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235655,16835769,P749_gp16,P749_gp16,PHL113M01_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235655,16835770,P749_gp17,P749_gp17,PHL113M01_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835771,P749_gp18,P749_gp18,PHL113M01_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835772,P749_gp19,P749_gp19,PHL113M01_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235655,16835773,P749_gp20,P749_gp20,PHL113M01_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235655,16835774,P749_gp21,P749_gp21,PHL113M01_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235655,16835775,P749_gp22,P749_gp22,PHL113M01_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835776,P749_gp23,P749_gp23,PHL113M01_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235655,16835777,P749_gp24,P749_gp24,PHL113M01_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835778,P749_gp25,P749_gp25,PHL113M01_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835779,P749_gp26,P749_gp26,PHL113M01_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835780,P749_gp27,P749_gp27,PHL113M01_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835781,P749_gp28,P749_gp28,PHL113M01_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835782,P749_gp29,P749_gp29,PHL113M01_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835783,P749_gp30,P749_gp30,PHL113M01_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235655,16835784,P749_gp31,P749_gp31,PHL113M01_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235655,16835785,P749_gp32,P749_gp32,PHL113M01_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835786,P749_gp33,P749_gp33,PHL113M01_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1235655,16835787,P749_gp34,P749_gp34,PHL113M01_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835788,P749_gp35,P749_gp35,PHL113M01_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835789,P749_gp36,P749_gp36,PHL113M01_36,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235655,16835790,P749_gp37,P749_gp37,PHL113M01_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835791,P749_gp38,P749_gp38,PHL113M01_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835792,P749_gp39,P749_gp39,PHL113M01_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835793,P749_gp40,P749_gp40,PHL113M01_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835794,P749_gp41,P749_gp41,PHL113M01_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835795,P749_gp42,P749_gp42,PHL113M01_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835796,P749_gp43,P749_gp43,PHL113M01_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235655,16835797,P749_gp44,P749_gp44,PHL113M01_44,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1235655,16835798,P749_gp01,P749_gp01,PHL113M01_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1235655,16976861,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
