#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1871313,29079521,BI032_gp088,BI032_gp088,ABCD_0261,-,-,-,proximal tail fiber subunit,protein-coding,-,-,-,proximal tail fiber subunit,20200910,-
1871313,29079522,BI032_gp151,BI032_gp151,ABCD_0198,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200926,-
1871313,29079523,BI032_gp039,BI032_gp039,ABCD_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079524,BI032_gp085,BI032_gp085,ABCD_0264,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20200910,-
1871313,29079525,BI032_gp145,BI032_gp145,ABCD_0204,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200926,-
1871313,29079526,BI032_gp086,BI032_gp086,ABCD_0263,-,-,-,large distal tail fiber subunit,protein-coding,-,-,-,large distal tail fiber subunit,20200910,-
1871313,29079527,BI032_gp064,BI032_gp064,ABCD_0064,-,-,-,ribonucleotide reductase B subunit,protein-coding,-,-,-,ribonucleotide reductase B subunit,20210424,-
1871313,29079528,BI032_gp003,BI032_gp003,ABCD_0003,-,-,-,rIIb protein,protein-coding,-,-,-,rIIb protein,20201221,-
1871313,29079529,BI032_gp004,BI032_gp004,ABCD_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079530,BI032_gp230,BI032_gp230,ABCD_0119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079531,BI032_gp103,BI032_gp103,ABCD_0246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079532,BI032_gp153,BI032_gp153,ABCD_0196,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210424,-
1871313,29079533,BI032_gp139,BI032_gp139,ABCD_0210,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210424,-
1871313,29079534,BI032_gp152,BI032_gp152,ABCD_0197,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210424,-
1871313,29079535,BI032_gp008,BI032_gp008,ABCD_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079536,BI032_gp140,BI032_gp140,ABCD_0209,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20200910,-
1871313,29079537,BI032_gp148,BI032_gp148,ABCD_0201,-,-,-,wedge subunit tail pin,protein-coding,-,-,-,wedge subunit tail pin,20200926,-
1871313,29079538,BI032_gp154,BI032_gp154,ABCD_0195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079539,BI032_gp244,BI032_gp244,ABCD_0105,-,-,-,tail tube cap,protein-coding,-,-,-,tail tube cap,20200910,-
1871313,29079540,BI032_gp056,BI032_gp056,ABCD_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079541,BI032_gp058,BI032_gp058,ABCD_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079542,BI032_gp087,BI032_gp087,ABCD_0262,-,-,-,small distal tail fiber subunit,protein-coding,-,-,-,small distal tail fiber subunit,20200910,-
1871313,29079543,BI032_gp137,BI032_gp137,ABCD_0212,-,-,-,prohead protein,protein-coding,-,-,-,prohead protein,20210424,-
1871313,29079544,BI032_gp132,BI032_gp132,ABCD_0217,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210424,-
1871313,29079545,BI032_gp253,BI032_gp253,ABCD_0096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079546,BI032_gp127,BI032_gp127,ABCD_0222,-,-,-,prohead protease inhibitor,protein-coding,-,-,-,prohead protease inhibitor,20200910,-
1871313,29079547,BI032_gp036,BI032_gp036,ABCD_0036,-,-,-,membrane-associated initiation of head vertex,protein-coding,-,-,-,membrane-associated initiation of head vertex,20210424,-
1871313,29079548,BI032_gp108,BI032_gp108,ABCD_0241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079549,BI032_gp089,BI032_gp089,ABCD_0260,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20200910,-
1871313,29079550,BI032_gp146,BI032_gp146,ABCD_0203,-,-,-,neck whiskers protein,protein-coding,-,-,-,neck whiskers protein,20210417,-
1871313,29079551,BI032_gp197,BI032_gp197,ABCD_0152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079552,BI032_gp026,BI032_gp026,ABCD_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079553,BI032_gp131,BI032_gp131,ABCD_0218,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210424,-
1871313,29079554,BI032_gp007,BI032_gp007,ABCD_0007,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210424,-
1871313,29079555,BI032_gp065,BI032_gp065,ABCD_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079556,BI032_gp186,BI032_gp186,ABCD_0163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079557,BI032_gp038,BI032_gp038,ABCD_0038,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1871313,29079558,BI032_gp068,BI032_gp068,ABCD_0068,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
1871313,29079559,BI032_gp246,BI032_gp246,ABCD_0103,-,-,-,baseplate distal hub,protein-coding,-,-,-,baseplate distal hub,20210424,-
1871313,29079560,BI032_gp243,BI032_gp243,ABCD_0106,-,-,-,tail tube initiator,protein-coding,-,-,-,tail tube initiator,20210424,-
1871313,29079561,BI032_gp211,BI032_gp211,ABCD_0138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079562,BI032_gp113,BI032_gp113,ABCD_0236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079563,BI032_gp029,BI032_gp029,ABCD_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079564,BI032_gp054,BI032_gp054,ABCD_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079565,BI032_gp043,BI032_gp043,ABCD_0043,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20200910,-
1871313,29079566,BI032_gp217,BI032_gp217,ABCD_0132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079567,BI032_gp150,BI032_gp150,ABCD_0199,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200926,-
1871313,29079568,BI032_gp046,BI032_gp046,ABCD_0046,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20210424,-
1871313,29079569,BI032_gp098,BI032_gp098,ABCD_0251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079570,BI032_gp175,BI032_gp175,ABCD_0174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079571,BI032_gp050,BI032_gp050,ABCD_0050,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210129,-
1871313,29079572,BI032_gp093,BI032_gp093,ABCD_0256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079573,BI032_gp144,BI032_gp144,ABCD_0205,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200910,-
1871313,29079574,BI032_gp210,BI032_gp210,ABCD_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1871313,29079575,BI032_gp222,BI032_gp222,ABCD_0127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079576,BI032_gp002,BI032_gp002,ABCD_0002,-,-,-,rIIb protein,protein-coding,-,-,-,rIIb protein,20201221,-
1871313,29079577,BI032_gp119,BI032_gp119,ABCD_0230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079578,BI032_gp071,BI032_gp071,ABCD_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079579,BI032_gp242,BI032_gp242,ABCD_0107,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20200910,-
1871313,29079580,BI032_gp149,BI032_gp149,ABCD_0200,-,-,-,baseplate wedge subunit tail pin,protein-coding,-,-,-,baseplate wedge subunit tail pin,20200926,-
1871313,29079581,BI032_gp063,BI032_gp063,ABCD_0063,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20210424,-
1871313,29079582,BI032_gp157,BI032_gp157,ABCD_0192,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210417,-
1871313,29079583,BI032_gp106,BI032_gp106,ABCD_0243,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210424,-
1871313,29079584,BI032_gp120,BI032_gp120,ABCD_0229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079585,BI032_gp142,BI032_gp142,ABCD_0207,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
1871313,29079586,BI032_gp158,BI032_gp158,ABCD_0191,-,-,-,DNA end protection protein,protein-coding,-,-,-,DNA end protection protein,20200910,-
1871313,29079587,BI032_gp133,BI032_gp133,ABCD_0216,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1871313,29079588,BI032_gp080,BI032_gp080,ABCD_0269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079589,BI032_gp143,BI032_gp143,ABCD_0206,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20200910,-
1871313,29079590,BI032_gp241,BI032_gp241,ABCD_0108,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20200910,-
1871313,29079591,BI032_gp123,BI032_gp123,ABCD_0226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079592,BI032_gp031,BI032_gp031,ABCD_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079593,BI032_gp092,BI032_gp092,ABCD_0257,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1871313,29079594,BI032_gp221,BI032_gp221,ABCD_0128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079595,BI032_gp011,BI032_gp011,ABCD_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1871313,29079596,BI032_gp023,BI032_gp023,ABCD_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
