#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089290,FDI45_gp177,FDI45_gp177,RISINGSUN_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089291,FDI45_gp178,FDI45_gp178,RISINGSUN_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089292,FDI45_gp179,FDI45_gp179,RISINGSUN_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089293,FDI45_gp180,FDI45_gp180,RISINGSUN_180,-,-,-,helix turn helix XRE family domain protein,protein-coding,-,-,-,helix turn helix XRE family domain protein,20201221,-
2026080,40089294,FDI45_gp181,FDI45_gp181,RISINGSUN_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089295,FDI45_gp182,FDI45_gp182,RISINGSUN_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089296,FDI45_gp183,FDI45_gp183,RISINGSUN_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089297,FDI45_gp184,FDI45_gp184,RISINGSUN_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089298,FDI45_gp185,FDI45_gp185,RISINGSUN_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089299,FDI45_gp186,FDI45_gp186,RISINGSUN_186,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
2026080,40089300,FDI45_gp187,FDI45_gp187,RISINGSUN_187,-,-,-,putative GIY-YIG family homing endonuclease,protein-coding,-,-,-,putative GIY-YIG family homing endonuclease,20201221,-
2026080,40089301,FDI45_gp188,FDI45_gp188,RISINGSUN_188,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
2026080,40089302,FDI45_gp189,FDI45_gp189,RISINGSUN_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089303,FDI45_gp190,FDI45_gp190,RISINGSUN_190,-,-,-,putative GroEL-like chaperonin protein,protein-coding,-,-,-,putative GroEL-like chaperonin protein,20201221,-
2026080,40089304,FDI45_gp191,FDI45_gp191,RISINGSUN_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089305,FDI45_gp192,FDI45_gp192,RISINGSUN_192,-,-,-,putative thymidylate kinase,protein-coding,-,-,-,putative thymidylate kinase,20201221,-
2026080,40089306,FDI45_gp193,FDI45_gp193,RISINGSUN_193,-,-,-,putative carbohydrate binding protein,protein-coding,-,-,-,putative carbohydrate binding protein,20201221,-
2026080,40089307,FDI45_gp194,FDI45_gp194,RISINGSUN_194,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2026080,40089308,FDI45_gp195,FDI45_gp195,RISINGSUN_195,-,-,-,putative carbohydrate binding protein,protein-coding,-,-,-,putative carbohydrate binding protein,20201221,-
2026080,40089309,FDI45_gp196,FDI45_gp196,RISINGSUN_196,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089310,FDI45_gp197,FDI45_gp197,RISINGSUN_197,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089311,FDI45_gp198,FDI45_gp198,RISINGSUN_198,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089312,FDI45_gp199,FDI45_gp199,RISINGSUN_199,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089313,FDI45_gp200,FDI45_gp200,RISINGSUN_200,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089314,FDI45_gp201,FDI45_gp201,RISINGSUN_201,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089315,FDI45_gp202,FDI45_gp202,RISINGSUN_202,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089316,FDI45_gp203,FDI45_gp203,RISINGSUN_203,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089317,FDI45_gp204,FDI45_gp204,RISINGSUN_204,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089318,FDI45_gp205,FDI45_gp205,RISINGSUN_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089319,FDI45_gp206,FDI45_gp206,RISINGSUN_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089320,FDI45_gp207,FDI45_gp207,RISINGSUN_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089321,FDI45_gp208,FDI45_gp208,RISINGSUN_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089322,FDI45_gp209,FDI45_gp209,RISINGSUN_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089323,FDI45_gp210,FDI45_gp210,RISINGSUN_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089324,FDI45_gp211,FDI45_gp211,RISINGSUN_211,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
2026080,40089325,FDI45_gp212,FDI45_gp212,RISINGSUN_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089326,FDI45_gp213,FDI45_gp213,RISINGSUN_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089327,FDI45_gp214,FDI45_gp214,RISINGSUN_214,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089328,FDI45_gp215,FDI45_gp215,RISINGSUN_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089329,FDI45_gp216,FDI45_gp216,RISINGSUN_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089330,FDI45_gp217,FDI45_gp217,RISINGSUN_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089331,FDI45_gp218,FDI45_gp218,RISINGSUN_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089332,FDI45_gp219,FDI45_gp219,RISINGSUN_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089333,FDI45_gp220,FDI45_gp220,RISINGSUN_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089334,FDI45_gp221,FDI45_gp221,RISINGSUN_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089335,FDI45_gp222,FDI45_gp222,RISINGSUN_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089336,FDI45_gp223,FDI45_gp223,RISINGSUN_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089337,FDI45_gp224,FDI45_gp224,RISINGSUN_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089338,FDI45_gp225,FDI45_gp225,RISINGSUN_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089339,FDI45_gp226,FDI45_gp226,RISINGSUN_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089340,FDI45_gp227,FDI45_gp227,RISINGSUN_227,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
2026080,40089341,FDI45_gp228,FDI45_gp228,RISINGSUN_228,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
2026080,40089342,FDI45_gp229,FDI45_gp229,RISINGSUN_229,-,-,-,putative DNA-directed RNA polymerase beta subunit 2,protein-coding,-,-,-,putative DNA-directed RNA polymerase beta subunit 2,20201221,-
2026080,40089343,FDI45_gp230,FDI45_gp230,RISINGSUN_230,-,-,-,putative RNA polymerase beta subunit,protein-coding,-,-,-,putative RNA polymerase beta subunit,20201221,-
2026080,40089344,FDI45_gp231,FDI45_gp231,RISINGSUN_231,-,-,-,putative transglycosylase/D-alanyl-D-alanine carboxypeptidase,protein-coding,-,-,-,putative transglycosylase/D-alanyl-D-alanine carboxypeptidase,20201221,-
2026080,40089345,FDI45_gp232,FDI45_gp232,RISINGSUN_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089346,FDI45_gp233,FDI45_gp233,RISINGSUN_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089347,FDI45_gp234,FDI45_gp234,RISINGSUN_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089348,FDI45_gp235,FDI45_gp235,RISINGSUN_235,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089349,FDI45_gp236,FDI45_gp236,RISINGSUN_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089350,FDI45_gp237,FDI45_gp237,RISINGSUN_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089351,FDI45_gp238,FDI45_gp238,RISINGSUN_238,-,-,-,putative phosphohydrolase,protein-coding,-,-,-,putative phosphohydrolase,20201221,-
2026080,40089352,FDI45_gp239,FDI45_gp239,RISINGSUN_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089353,FDI45_gp240,FDI45_gp240,RISINGSUN_240,-,-,-,putative ATP-dependent DNA helicase,protein-coding,-,-,-,putative ATP-dependent DNA helicase,20201221,-
2026080,40089354,FDI45_gp241,FDI45_gp241,RISINGSUN_241,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089355,FDI45_gp242,FDI45_gp242,RISINGSUN_242,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089356,FDI45_gp243,FDI45_gp243,RISINGSUN_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089357,FDI45_gp001,FDI45_gp001,RISINGSUN_1,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20201221,-
2026080,40120474,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
