#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089163,FDI45_gp050,FDI45_gp050,RISINGSUN_50,-,-,-,putative DNA directed RNA polymerase beta subunit,protein-coding,-,-,-,putative DNA directed RNA polymerase beta subunit,20201221,-
2026080,40089164,FDI45_gp051,FDI45_gp051,RISINGSUN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089165,FDI45_gp052,FDI45_gp052,RISINGSUN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089166,FDI45_gp053,FDI45_gp053,RISINGSUN_53,-,-,-,putative ZipA-like cell division protein,protein-coding,-,-,-,putative ZipA-like cell division protein,20201221,-
2026080,40089167,FDI45_gp054,FDI45_gp054,RISINGSUN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089168,FDI45_gp055,FDI45_gp055,RISINGSUN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089169,FDI45_gp056,FDI45_gp056,RISINGSUN_56,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
2026080,40089170,FDI45_gp057,FDI45_gp057,RISINGSUN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089171,FDI45_gp058,FDI45_gp058,RISINGSUN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089172,FDI45_gp059,FDI45_gp059,RISINGSUN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089173,FDI45_gp060,FDI45_gp060,RISINGSUN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089174,FDI45_gp061,FDI45_gp061,RISINGSUN_61,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089175,FDI45_gp062,FDI45_gp062,RISINGSUN_62,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
2026080,40089176,FDI45_gp063,FDI45_gp063,RISINGSUN_63,-,-,-,putative capsid and scaffold protein,protein-coding,-,-,-,putative capsid and scaffold protein,20201221,-
2026080,40089177,FDI45_gp064,FDI45_gp064,RISINGSUN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
