#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2108115,56166895,H3H24_gp02,H3H24_gp02,SH2026Stx1_00002,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210424,-
2108115,56166896,H3H24_gp03,H3H24_gp03,SH2026Stx1_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166897,H3H24_gp04,H3H24_gp04,SH2026Stx1_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2108115,56166898,H3H24_gp05,H3H24_gp05,SH2026Stx1_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166899,H3H24_gp06,H3H24_gp06,SH2026Stx1_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166900,H3H24_gp07,H3H24_gp07,SH2026Stx1_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166901,H3H24_gp08,H3H24_gp08,SH2026Stx1_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166902,H3H24_gp09,H3H24_gp09,SH2026Stx1_00009,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2108115,56166903,H3H24_gp10,H3H24_gp10,SH2026Stx1_00010,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20200905,-
2108115,56166904,H3H24_gp11,H3H24_gp11,SH2026Stx1_00011,-,-,-,Gam,protein-coding,-,-,-,Gam,20210212,-
2108115,56166905,H3H24_gp12,H3H24_gp12,SH2026Stx1_00012,-,-,-,Kil,protein-coding,-,-,-,Kil,20210123,-
2108115,56166906,H3H24_gp13,H3H24_gp13,SH2026Stx1_00013,-,-,-,regulatory protein cIII,protein-coding,-,-,-,regulatory protein cIII,20201003,-
2108115,56166907,H3H24_gp14,H3H24_gp14,SH2026Stx1_00014,-,-,-,transposase,protein-coding,-,-,-,transposase,20210212,-
2108115,56166908,H3H24_gp15,H3H24_gp15,SH2026Stx1_00015,-,-,-,transposase,protein-coding,-,-,-,transposase,20210212,-
2108115,56166909,H3H24_gp16,H3H24_gp16,SH2026Stx1_00016,-,-,-,truncated transposase,protein-coding,-,-,-,truncated transposase,20201003,-
2108115,56166910,H3H24_gp17,H3H24_gp17,SH2026Stx1_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2108115,56166911,H3H24_gp18,H3H24_gp18,SH2026Stx1_00018,-,-,-,putative regulatory protein N,protein-coding,-,-,-,putative regulatory protein N,20200728,-
2108115,56166912,H3H24_gp19,H3H24_gp19,SH2026Stx1_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166913,H3H24_gp20,H3H24_gp20,SH2026Stx1_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166914,H3H24_gp21,H3H24_gp21,SH2026Stx1_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2108115,56166915,H3H24_gp22,H3H24_gp22,SH2026Stx1_00022,-,-,-,repressor protein CI,protein-coding,-,-,-,repressor protein CI,20210417,-
2108115,56166916,H3H24_gp23,H3H24_gp23,SH2026Stx1_00023,-,-,-,Cro,protein-coding,-,-,-,Cro,20210406,-
2108115,56166917,H3H24_gp24,H3H24_gp24,SH2026Stx1_00024,-,-,-,regulatory protein CII,protein-coding,-,-,-,regulatory protein CII,20210424,-
2108115,56166918,H3H24_gp25,H3H24_gp25,SH2026Stx1_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166919,H3H24_gp26,H3H24_gp26,SH2026Stx1_00026,-,-,-,DNA replication protein O,protein-coding,-,-,-,DNA replication protein O,20210417,-
2108115,56166920,H3H24_gp27,H3H24_gp27,SH2026Stx1_00027,-,-,-,helicase,protein-coding,-,-,-,helicase,20210129,-
2108115,56166921,H3H24_gp28,H3H24_gp28,SH2026Stx1_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166922,H3H24_gp29,H3H24_gp29,SH2026Stx1_00029,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
2108115,56166923,H3H24_gp30,H3H24_gp30,SH2026Stx1_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166924,H3H24_gp31,H3H24_gp31,SH2026Stx1_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166925,H3H24_gp32,H3H24_gp32,SH2026Stx1_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166926,H3H24_gp33,H3H24_gp33,SH2026Stx1_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166927,H3H24_gp34,H3H24_gp34,SH2026Stx1_00034,-,-,-,NinB protein,protein-coding,-,-,-,NinB protein,20210327,-
