#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500810,40079555,FDH74_gp02,FDH74_gp02,PHL082M03_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500810,40079556,FDH74_gp03,FDH74_gp03,PHL082M03_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1500810,40079557,FDH74_gp04,FDH74_gp04,PHL082M03_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079558,FDH74_gp05,FDH74_gp05,PHL082M03_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500810,40079559,FDH74_gp06,FDH74_gp06,PHL082M03_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210424,-
1500810,40079560,FDH74_gp07,FDH74_gp07,PHL082M03_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079561,FDH74_gp08,FDH74_gp08,PHL082M03_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079562,FDH74_gp09,FDH74_gp09,PHL082M03_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079563,FDH74_gp10,FDH74_gp10,PHL082M03_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079564,FDH74_gp11,FDH74_gp11,PHL082M03_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500810,40079565,FDH74_gp12,FDH74_gp12,PHL082M03_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079566,FDH74_gp13,FDH74_gp13,PHL082M03_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079567,FDH74_gp14,FDH74_gp14,PHL082M03_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500810,40079568,FDH74_gp15,FDH74_gp15,PHL082M03_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500810,40079569,FDH74_gp16,FDH74_gp16,PHL082M03_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20210424,-
1500810,40079570,FDH74_gp17,FDH74_gp17,PHL082M03_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079571,FDH74_gp18,FDH74_gp18,PHL082M03_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079572,FDH74_gp19,FDH74_gp19,PHL082M03_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20210424,-
1500810,40079573,FDH74_gp20,FDH74_gp20,PHL082M03_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500810,40079574,FDH74_gp21,FDH74_gp21,PHL082M03_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210424,-
1500810,40079575,FDH74_gp22,FDH74_gp22,PHL082M03_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500810,40079576,FDH74_gp23,FDH74_gp23,PHL082M03_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210424,-
