#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897532,40072406,2,FDH08_gp02,B22_2,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
1897532,40072407,3,FDH08_gp03,B22_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1897532,40072408,4,FDH08_gp04,B22_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1897532,40072409,5,FDH08_gp05,B22_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072410,6,FDH08_gp06,B22_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072411,7,FDH08_gp07,B22_7,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1897532,40072412,8,FDH08_gp08,B22_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072413,9,FDH08_gp09,B22_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072414,10,FDH08_gp10,B22_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072415,11,FDH08_gp11,B22_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072416,12,FDH08_gp12,B22_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072417,13,FDH08_gp13,B22_13,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1897532,40072418,14,FDH08_gp14,B22_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072419,15,FDH08_gp15,B22_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072420,16,FDH08_gp16,B22_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1897532,40072421,17,FDH08_gp17,B22_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072422,18,FDH08_gp18,B22_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1897532,40072423,19,FDH08_gp19,B22_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072424,20,FDH08_gp20,B22_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072425,21,FDH08_gp21,B22_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072426,22,FDH08_gp22,B22_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1897532,40072427,23,FDH08_gp23,B22_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
