#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1173749,16253887,N275_gp02,N275_gp02,SP031_00010,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
1173749,16253888,N275_gp03,N275_gp03,SP031_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253889,N275_gp04,N275_gp04,SP031_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253890,N275_gp05,N275_gp05,SP031_00025,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1173749,16253891,N275_gp06,N275_gp06,SP031_00030,-,-,-,Mom,protein-coding,-,-,-,Mom,20200629,-
1173749,16253892,N275_gp07,N275_gp07,SP031_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253893,N275_gp08,N275_gp08,SP031_00040,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200629,-
1173749,16253894,N275_gp09,N275_gp09,SP031_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253895,N275_gp10,N275_gp10,SP031_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253896,N275_gp11,N275_gp11,SP031_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253897,N275_gp12,N275_gp12,SP031_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253898,N275_gp13,N275_gp13,SP031_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253899,N275_gp14,N275_gp14,SP031_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253900,N275_gp15,N275_gp15,SP031_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253901,N275_gp16,N275_gp16,SP031_00080,-,-,-,putative phage replicative helicase/primease,protein-coding,-,-,-,putative phage replicative helicase/primease,20200629,-
1173749,16253902,N275_gp17,N275_gp17,SP031_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253903,N275_gp18,N275_gp18,SP031_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253904,N275_gp19,N275_gp19,SP031_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253905,N275_gp20,N275_gp20,SP031_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253906,N275_gp21,N275_gp21,SP031_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253907,N275_gp22,N275_gp22,SP031_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253908,N275_gp23,N275_gp23,SP031_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253909,N275_gp24,N275_gp24,SP031_00120,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1173749,16253910,N275_gp25,N275_gp25,SP031_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253911,N275_gp26,N275_gp26,SP031_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253912,N275_gp27,N275_gp27,SP031_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253913,N275_gp28,N275_gp28,SP031_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253914,N275_gp29,N275_gp29,SP031_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253915,N275_gp30,N275_gp30,SP031_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253916,N275_gp31,N275_gp31,SP031_00155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253917,N275_gp32,N275_gp32,SP031_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253918,N275_gp33,N275_gp33,SP031_00165,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20200629,-
1173749,16253919,N275_gp34,N275_gp34,SP031_00170,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1173749,16253920,N275_gp35,N275_gp35,SP031_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253921,N275_gp36,N275_gp36,SP031_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253922,N275_gp37,N275_gp37,SP031_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253923,N275_gp38,N275_gp38,SP031_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253924,N275_gp39,N275_gp39,SP031_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253925,N275_gp40,N275_gp40,SP031_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253926,N275_gp41,N275_gp41,SP031_00205,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20200629,-
1173749,16253927,N275_gp42,N275_gp42,SP031_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253928,N275_gp43,N275_gp43,SP031_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253929,N275_gp44,N275_gp44,SP031_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253930,N275_gp45,N275_gp45,SP031_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253931,N275_gp46,N275_gp46,SP031_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253932,N275_gp47,N275_gp47,SP031_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253933,N275_gp48,N275_gp48,SP031_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253934,N275_gp49,N275_gp49,SP031_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253935,N275_gp50,N275_gp50,SP031_00250,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1173749,16253936,N275_gp51,N275_gp51,SP031_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253937,N275_gp52,N275_gp52,SP031_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253938,N275_gp53,N275_gp53,SP031_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253939,N275_gp54,N275_gp54,SP031_00270,-,-,-,tail length tape measure-related protein,protein-coding,-,-,-,tail length tape measure-related protein,20200629,-
1173749,16253940,N275_gp55,N275_gp55,SP031_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253941,N275_gp56,N275_gp56,SP031_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253942,N275_gp57,N275_gp57,SP031_00285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16253943,N275_gp58,N275_gp58,SP031_00290,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1173749,16253944,N275_gp59,N275_gp59,SP031_00295,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1173749,16253945,N275_gp01,N275_gp01,SP031_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173749,16545689,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
