#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250364,60332346,2,I5H74_gp002,SEA_OLYMPIASAINT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250364,60332347,3,I5H74_gp003,SEA_OLYMPIASAINT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210313,-
2250364,60332348,4,I5H74_gp004,SEA_OLYMPIASAINT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2250364,60332349,5,I5H74_gp005,SEA_OLYMPIASAINT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2250364,60332350,6,I5H74_gp006,SEA_OLYMPIASAINT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2250364,60332351,7,I5H74_gp007,SEA_OLYMPIASAINT_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2250364,60332352,8,I5H74_gp008,SEA_OLYMPIASAINT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2250364,60332353,9,I5H74_gp009,SEA_OLYMPIASAINT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250364,60332354,10,I5H74_gp010,SEA_OLYMPIASAINT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2250364,60332355,11,I5H74_gp011,SEA_OLYMPIASAINT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2250364,60332356,13,I5H74_gp012,SEA_OLYMPIASAINT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2250364,60332357,14,I5H74_gp014,SEA_OLYMPIASAINT_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2250364,60332358,12,I5H74_gp013,SEA_OLYMPIASAINT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2250364,60332359,15,I5H74_gp015,SEA_OLYMPIASAINT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332360,16,I5H74_gp016,SEA_OLYMPIASAINT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332361,17,I5H74_gp017,SEA_OLYMPIASAINT_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332362,18,I5H74_gp018,SEA_OLYMPIASAINT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332363,19,I5H74_gp019,SEA_OLYMPIASAINT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2250364,60332364,20,I5H74_gp020,SEA_OLYMPIASAINT_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2250364,60332365,21,I5H74_gp021,SEA_OLYMPIASAINT_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332366,22,I5H74_gp022,SEA_OLYMPIASAINT_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332367,23,I5H74_gp023,SEA_OLYMPIASAINT_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
