#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1127518,14011886,F397_gp02,F397_gp02,VchM-138_0002,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1127518,14011887,F397_gp03,F397_gp03,VchM-138_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011888,F397_gp04,F397_gp04,VchM-138_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011889,F397_gp05,F397_gp05,VchM-138_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011890,F397_gp06,F397_gp06,VchM-138_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011891,F397_gp07,F397_gp07,VchM-138_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011892,F397_gp08,F397_gp08,VchM-138_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011893,F397_gp09,F397_gp09,VchM-138_0009,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1127518,14011894,F397_gp10,F397_gp10,VchM-138_0010,-,-,-,putative NinC recombination protein,protein-coding,-,-,-,putative NinC recombination protein,20201221,-
1127518,14011895,F397_gp11,F397_gp11,VchM-138_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011896,F397_gp12,F397_gp12,VchM-138_0012,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20201221,-
1127518,14011897,F397_gp13,F397_gp13,VchM-138_0013,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20201221,-
1127518,14011898,F397_gp14,F397_gp14,VchM-138_0014,-,-,-,putative TetR transcriptional regulator,protein-coding,-,-,-,putative TetR transcriptional regulator,20201221,-
1127518,14011899,F397_gp15,F397_gp15,VchM-138_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011900,F397_gp16,F397_gp16,VchM-138_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011901,F397_gp17,F397_gp17,VchM-138_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011902,F397_gp18,F397_gp18,VchM-138_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011903,F397_gp19,F397_gp19,VchM-138_0019,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201221,-
1127518,14011904,F397_gp20,F397_gp20,VchM-138_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011905,F397_gp21,F397_gp21,VchM-138_0021,-,-,-,putative TerS small-subunit terminase,protein-coding,-,-,-,putative TerS small-subunit terminase,20201221,-
1127518,14011906,F397_gp22,F397_gp22,VchM-138_0022,-,-,-,putative TerL large-subunit terminase,protein-coding,-,-,-,putative TerL large-subunit terminase,20201221,-
1127518,14011907,F397_gp23,F397_gp23,VchM-138_0023,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1127518,14011908,F397_gp24,F397_gp24,VchM-138_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011909,F397_gp25,F397_gp25,VchM-138_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011910,F397_gp26,F397_gp26,VchM-138_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011911,F397_gp27,F397_gp27,VchM-138_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011912,F397_gp28,F397_gp28,VchM-138_0028,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
1127518,14011913,F397_gp29,F397_gp29,VchM-138_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011914,F397_gp30,F397_gp30,VchM-138_0030,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1127518,14011915,F397_gp31,F397_gp31,VchM-138_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011916,F397_gp32,F397_gp32,VchM-138_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011917,F397_gp33,F397_gp33,VchM-138_0033,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
1127518,14011918,F397_gp34,F397_gp34,VchM-138_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011919,F397_gp35,F397_gp35,VchM-138_0035,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1127518,14011920,F397_gp36,F397_gp36,VchM-138_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011921,F397_gp37,F397_gp37,VchM-138_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011922,F397_gp38,F397_gp38,VchM-138_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011923,F397_gp39,F397_gp39,VchM-138_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011924,F397_gp40,F397_gp40,VchM-138_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011925,F397_gp41,F397_gp41,VchM-138_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011926,F397_gp42,F397_gp42,VchM-138_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011927,F397_gp43,F397_gp43,VchM-138_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011928,F397_gp44,F397_gp44,VchM-138_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011929,F397_gp45,F397_gp45,VchM-138_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011930,F397_gp46,F397_gp46,VchM-138_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011931,F397_gp47,F397_gp47,VchM-138_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011932,F397_gp48,F397_gp48,VchM-138_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
