#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719200,58556977,H6S68_gp08,H6S68_gp08,7_00008,-,-,-,3' to 5' DNA exonuclease,protein-coding,-,-,-,3' to 5' DNA exonuclease,20210320,-
2719200,58556978,H6S68_gp90,H6S68_gp90,7_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556979,H6S68_gp84,H6S68_gp84,7_00084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556980,H6S68_gp63,H6S68_gp63,7_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58556981,H6S68_gp27,H6S68_gp27,7_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556982,H6S68_gp06,H6S68_gp06,7_00006,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200817,-
2719200,58556983,H6S68_gp75,H6S68_gp75,7_00075,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200817,-
2719200,58556984,H6S68_gp89,H6S68_gp89,7_00089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58556985,H6S68_gp67,H6S68_gp67,7_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556986,H6S68_gp47,H6S68_gp47,7_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556987,H6S68_gp88,H6S68_gp88,7_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58556988,H6S68_gp20,H6S68_gp20,7_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556989,H6S68_gp69,H6S68_gp69,7_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556990,H6S68_gp25,H6S68_gp25,7_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556991,H6S68_gp10,H6S68_gp10,7_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556992,H6S68_gp18,H6S68_gp18,7_00018,-,-,-,TolA protein,protein-coding,-,-,-,TolA protein,20200817,-
2719200,58556993,H6S68_gp23,H6S68_gp23,7_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556994,H6S68_gp56,H6S68_gp56,7_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556995,H6S68_gp12,H6S68_gp12,7_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556996,H6S68_gp94,H6S68_gp94,7_00094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556997,H6S68_gp04,H6S68_gp04,7_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58556998,H6S68_gp19,H6S68_gp19,7_00019,-,-,-,5' to 3' DNA helicase-like protein,protein-coding,-,-,-,5' to 3' DNA helicase-like protein,20210306,-
