#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673876,26625857,AVT30_gp02,AVT30_gp02,UNIONJACK_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200622,-
1673876,26625858,AVT30_gp03,AVT30_gp03,UNIONJACK_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625859,AVT30_gp04,AVT30_gp04,UNIONJACK_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625860,AVT30_gp05,AVT30_gp05,UNIONJACK_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625861,AVT30_gt01,AVT30_gt01,UNIONJACK_6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1673876,26625862,AVT30_gp86,AVT30_gp86,UNIONJACK_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200622,-
1673876,26625863,AVT30_gp85,AVT30_gp85,UNIONJACK_8,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200622,-
1673876,26625864,AVT30_gp84,AVT30_gp84,UNIONJACK_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200622,-
1673876,26625865,AVT30_gp83,AVT30_gp83,UNIONJACK_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200622,-
1673876,26625866,AVT30_gp82,AVT30_gp82,UNIONJACK_11,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200622,-
1673876,26625867,AVT30_gp81,AVT30_gp81,UNIONJACK_12,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200622,-
1673876,26625868,AVT30_gp80,AVT30_gp80,UNIONJACK_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200622,-
1673876,26625869,AVT30_gp79,AVT30_gp79,UNIONJACK_14,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200622,-
1673876,26625870,AVT30_gp78,AVT30_gp78,UNIONJACK_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625871,AVT30_gp77,AVT30_gp77,UNIONJACK_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200622,-
1673876,26625872,AVT30_gp76,AVT30_gp76,UNIONJACK_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625873,AVT30_gp75,AVT30_gp75,UNIONJACK_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200622,-
1673876,26625874,AVT30_gp74,AVT30_gp74,UNIONJACK_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200622,-
1673876,26625875,AVT30_gp73,AVT30_gp73,UNIONJACK_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1673876,26625876,AVT30_gp71,AVT30_gp71,UNIONJACK_22,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200622,-
1673876,26625877,AVT30_gp72,AVT30_gp72,UNIONJACK_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1673876,26625878,AVT30_gp70,AVT30_gp70,UNIONJACK_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1673876,26625879,AVT30_gp69,AVT30_gp69,UNIONJACK_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1673876,26625880,AVT30_gp68,AVT30_gp68,UNIONJACK_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625881,AVT30_gp67,AVT30_gp67,UNIONJACK_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625882,AVT30_gp66,AVT30_gp66,UNIONJACK_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625883,AVT30_gp65,AVT30_gp65,UNIONJACK_28,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200622,-
1673876,26625884,AVT30_gp64,AVT30_gp64,UNIONJACK_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625885,AVT30_gp63,AVT30_gp63,UNIONJACK_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625886,AVT30_gp62,AVT30_gp62,UNIONJACK_31,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200622,-
1673876,26625887,AVT30_gp61,AVT30_gp61,UNIONJACK_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625888,AVT30_gp60,AVT30_gp60,UNIONJACK_33,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200622,-
1673876,26625889,AVT30_gp59,AVT30_gp59,UNIONJACK_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625890,AVT30_gp58,AVT30_gp58,UNIONJACK_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625891,AVT30_gp57,AVT30_gp57,UNIONJACK_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625892,AVT30_gp56,AVT30_gp56,UNIONJACK_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625893,AVT30_gp55,AVT30_gp55,UNIONJACK_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625894,AVT30_gp54,AVT30_gp54,UNIONJACK_39,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200622,-
1673876,26625895,AVT30_gp53,AVT30_gp53,UNIONJACK_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625896,AVT30_gp52,AVT30_gp52,UNIONJACK_41,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200622,-
1673876,26625897,AVT30_gp51,AVT30_gp51,UNIONJACK_42,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200622,-
1673876,26625898,AVT30_gp50,AVT30_gp50,UNIONJACK_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625899,AVT30_gp49,AVT30_gp49,UNIONJACK_44,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200622,-
1673876,26625900,AVT30_gp48,AVT30_gp48,UNIONJACK_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625901,AVT30_gp47,AVT30_gp47,UNIONJACK_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625902,AVT30_gp46,AVT30_gp46,UNIONJACK_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625903,AVT30_gp45,AVT30_gp45,UNIONJACK_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625904,AVT30_gp44,AVT30_gp44,UNIONJACK_49,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200622,-
1673876,26625905,AVT30_gp43,AVT30_gp43,UNIONJACK_50,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200622,-
1673876,26625906,AVT30_gp42,AVT30_gp42,UNIONJACK_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625907,AVT30_gp41,AVT30_gp41,UNIONJACK_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625908,AVT30_gp40,AVT30_gp40,UNIONJACK_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625909,AVT30_gp39,AVT30_gp39,UNIONJACK_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625910,AVT30_gp38,AVT30_gp38,UNIONJACK_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1673876,26625911,AVT30_gp36,AVT30_gp36,UNIONJACK_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625912,AVT30_gp35,AVT30_gp35,UNIONJACK_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625913,AVT30_gp34,AVT30_gp34,UNIONJACK_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625914,AVT30_gp33,AVT30_gp33,UNIONJACK_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625915,AVT30_gp32,AVT30_gp32,UNIONJACK_60,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200622,-
1673876,26625916,AVT30_gp31,AVT30_gp31,UNIONJACK_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625917,AVT30_gp30,AVT30_gp30,UNIONJACK_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
